symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,n_obs_trading_days,data_start,data_end,Q_beta,Q_alpha,Q_beta_sqrt,Q_alpha_sqrt,Q_beta_annualised,Q_alpha_annualised,R,R_sqrt,SNR_beta_R,SNR_alpha_R,log_likelihood,log_likelihood_per_obs,em_iterations,em_converged,beta_initial,beta_final,beta_mean,beta_std,beta_drift_total,alpha_initial,alpha_final,alpha_mean,alpha_std,P_beta_final,P_alpha_final,kalman_gain_beta_mean,kalman_gain_alpha_mean,innovation_mean,innovation_std,spread_mean,spread_std,spread_skew,spread_kurtosis,spread_min,spread_max,spread_autocorr_lag1,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ou_equilibrium_minutes,spread_stationary_std,ar1_phi,ar1_c,ar1_phi_pvalue,adf_stat,adf_pvalue,adf_critical_1pct,adf_critical_5pct,adf_critical_10pct,hurst_exponent,tradeable,tradeable_reason,runtime_s,skipped,skip_reason,error
PFC,RECLTD,0.670173,1,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,6.9628309e-07,1e-12,0.00083443579,1e-06,0.065798752,9.45e-08,1.4241733e-06,0.0011933873,0.48890336,7.0216176e-07,191889.23,4.33648,15,False,0.72916542,0.76797865,0.74895171,0.017018783,0.038813233,1.600756,1.6007556,1.6007557,1.2208442e-07,4.1040863e-08,4.4249965e-08,0.161472,9.744866e-08,5.4643528e-06,0.00072466962,-2.5628415e-10,5.5589938e-05,-0.39003208,21.219977,-0.0013379142,0.00089605435,-0.50863529,20.723266,-1.6911399e-09,0.00030812749,0.033447777,0.00055746295,0.10034333,4.7861505e-05,-0.50862698,-1.6911399e-09,0,-81.347435,0,-3.4304979,-2.8616054,-2.5668048,0.00035235784,False,HL=0.0<15,11.71,False,,
INFY,TCS,0.659622,2,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1e-12,1e-06,1e-06,9.45e-08,9.45e-08,0.00065008078,0.025496682,1.5382704e-09,1.5382704e-09,73617.913,1.663682,15,False,0.2182411,0.19002208,0.20734881,0.012023359,0.028219021,5.5988501,5.5947495,5.5970192,0.001584423,3.9340712e-09,4.3626453e-08,6.046924e-05,4.5194817e-06,-0.017223803,0.033409334,-0.00015674495,0.025524195,0.10184597,-0.27558523,-0.09382795,0.078509835,0.99930444,0.00070010187,0.00027443326,0.0009521673,990.06618,16.501103,2970.1985,0.02544589,0.99930014,1.9206399e-07,3.9509815e-05,-3.6941728,0.0041958692,-3.4304978,-2.8616053,-2.5668048,0.51869456,True,PASS,7.42,False,,
BDL,MAZDOCK,0.651684,3,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,9.5316504e-08,1e-06,0.00030873371,9.45e-08,0.0090074096,0.0017307612,0.041602419,5.7778044e-10,5.5072012e-05,97417.52,2.201526,15,False,1.9238982,1.923142,1.9231706,2.8499819e-05,0.00075615239,-7.833112,-7.8209792,-7.7908332,0.075870716,2.5071348e-07,2.8070202e-05,1.7464959e-05,0.0073602493,2.090841e-05,0.013894723,1.7129348e-05,0.0099344607,-0.29833083,5.0941805,-0.075929975,0.10348503,0.98399803,0.016127708,9.4203815e-06,0.0017844287,42.978654,0.7163109,128.93596,0.0099356863,0.98400165,1.5071059e-07,1.503241e-79,-16.560932,1.9075365e-29,-3.4304978,-2.8616053,-2.5668048,0.42703132,True,PASS,6.64,False,,
BANKBARODA,CANBK,0.63535,4,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,6.2081359e-07,1e-12,0.00078791725,1e-06,0.058666884,9.45e-08,1.2958335e-06,0.0011383468,0.47908437,7.7170407e-07,199869.27,4.51682,15,False,1.3625025,1.3798223,1.3703395,0.00804739,0.017319808,-1.1507196,-1.1507083,-1.1507122,3.4743442e-06,5.1918561e-08,4.4249896e-08,0.18676383,1.7605485e-07,2.0383922e-06,0.0010698177,1.2983511e-08,0.00010880675,0.72683577,64.267829,-0.0022366898,0.0026571086,-0.48241575,20.723266,2.7019669e-08,0.00061352659,0.033447777,0.00055746295,0.10034333,9.5299209e-05,-0.48236368,2.7019669e-08,0,-82.480213,0,-3.4304979,-2.8616054,-2.5668048,-0.00025165287,False,HL=0.0<15,7.51,False,,
GRSE,MAZDOCK,0.631132,5,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,3.6370799e-06,1e-12,0.001907113,1e-06,0.34370405,9.45e-08,1.3461005e-05,0.0036689243,0.27019378,7.4288656e-08,141624.11,3.200545,15,False,3.9302769,3.9678621,3.9636336,0.019882726,0.037585255,-23.103454,-23.103452,-23.103453,7.7297769e-07,2.0943817e-07,4.4249997e-08,0.12119228,9.9282658e-09,6.7686742e-06,0.0039923415,3.3137647e-08,0.00029819753,0.007053305,38.032195,-0.0056550235,0.0063119635,-0.46121942,20.723266,6.3000692e-08,0.0017033533,0.033447777,0.00055746295,0.10034333,0.00026458221,-0.46121554,6.3000692e-08,0,-79.796546,0,-3.4304979,-2.8616054,-2.5668048,-0.00061656445,False,HL=0.0<15,6.71,False,,
CANBK,PNB,0.627409,6,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1e-12,1e-06,1e-06,9.45e-08,9.45e-08,0.00031943922,0.017872863,3.1304859e-09,3.1304859e-09,109568.67,2.476128,15,False,0.52125522,0.51006641,0.51660441,0.0041534357,0.011188809,2.5076395,2.5049569,2.5064959,0.0010077058,5.5538268e-09,4.2609381e-08,9.2421964e-05,1.0405005e-05,-0.0042238168,0.019601494,-0.00011921777,0.017871184,-0.028649316,0.31794624,-0.063004116,0.057112574,0.99895636,0.0010404431,0.00012329825,0.00081669813,666.2038,11.103397,1998.6114,0.017903477,0.9989601,1.282181e-07,8.402984e-07,-4.2430496,0.00055665207,-3.4304979,-2.8616054,-2.5668048,0.48528408,True,PASS,6.81,False,,
BPCL,HINDPETRO,0.625088,7,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1e-12,1e-06,1e-06,9.45e-08,9.45e-08,0.00067863359,0.026050597,1.4735492e-09,1.4735492e-09,81297.077,1.837222,15,False,0.41679229,0.39896589,0.41261117,0.0081158471,0.017826396,3.3323468,3.3287535,3.3311873,0.0014713073,5.4186376e-09,4.3254366e-08,6.7947981e-05,5.5338412e-06,-0.010972969,0.033009526,-0.00026285341,0.026100491,-0.028457249,0.67013191,-0.077358853,0.084988167,0.9994426,0.00055866658,0.00020788119,0.00087158749,1240.7171,20.678618,3722.1513,0.02607472,0.99944149,1.1610384e-07,0.00021668739,-3.0058954,0.034347502,-3.4304978,-2.8616053,-2.5668048,0.47565194,True,PASS,6.51,False,,
HINDZINC,VEDL,0.621889,8,44205,117.9,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1.6202907e-07,1e-12,0.00040252834,1e-06,0.015311747,9.45e-08,4.5530622e-07,0.00067476383,0.35586834,2.196324e-06,219078.09,4.955957,15,False,0.23608567,0.25934657,0.25742814,0.014326034,0.023260895,4.9579697,4.9579448,4.9579516,7.371154e-06,1.3683973e-08,4.4204724e-08,0.16628318,5.2884585e-07,3.0647955e-06,0.0013165732,-1.2978926e-08,0.00013666417,-0.32639482,228.26099,-0.0055335418,0.005511711,-0.42913645,20.723266,-1.5941906e-08,0.00079469719,0.033447777,0.00055746295,0.10034333,0.00012344047,-0.42913223,-1.5941906e-08,0,-78.397487,0,-3.430498,-2.8616054,-2.5668048,-0.0012115441,False,HL=0.0<15,7.09,False,,
BANKINDIA,CANBK,0.621704,9,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1.0366055e-06,1e-12,0.0010181382,1e-06,0.097959217,9.45e-08,1.7162443e-06,0.0013100551,0.60399647,5.8266764e-07,189749.32,4.28812,15,False,1.2904604,1.3238754,1.3119472,0.014585194,0.033414988,-1.5001576,-1.5001521,-1.500154,1.6734514e-06,6.9142935e-08,4.4249936e-08,0.18945953,1.0823291e-07,3.9878035e-06,0.0010463496,8.3877795e-09,8.890448e-05,0.44912525,48.710347,-0.0019986566,0.0021789939,-0.50905836,20.723266,2.1037557e-08,0.00049257474,0.033447777,0.00055746295,0.10034333,7.6511733e-05,-0.50898233,2.1037557e-08,0,-83.752101,0,-3.4304979,-2.8616054,-2.5668048,0.00032630333,False,HL=0.0<15,6.79,False,,
BPCL,IOC,0.616216,10,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1e-12,1e-06,1e-06,9.45e-08,9.45e-08,0.0014985787,0.03871148,6.6729895e-10,6.6729895e-10,66263.709,1.497485,15,False,0.36832375,0.34530492,0.359047,0.01002881,0.023018822,4.0041232,3.9988239,4.0016789,0.0021038788,9.1120614e-09,4.3091253e-08,6.3158313e-05,3.9165352e-06,-0.022023411,0.044921945,-0.00053477851,0.038725917,-0.77966338,0.57142129,-0.1310158,0.077862566,0.99967897,0.00032107363,0.0007686026,0.00098136496,2158.8418,35.980697,6476.5255,0.038726944,0.99967898,2.4673841e-07,0.0038490481,-2.350758,0.15611938,-3.4304978,-2.8616053,-2.5668048,0.47581426,False,ADF_p=0.1561; HL=2159>1440,7.15,False,,
