symbol_a,symbol_b,pearson_rho,t_stat,p_value,n_obs,rank
PFC,RECLTD,0.670173,178.8159,0.0,39220,1
INFY,TCS,0.659622,173.8012,0.0,39220,2
BDL,MAZDOCK,0.651684,170.1491,0.0,39220,3
BANKBARODA,CANBK,0.63535,162.9341,0.0,39220,4
GRSE,MAZDOCK,0.631132,161.1324,0.0,39220,5
CANBK,PNB,0.627409,159.5617,0.0,39220,6
BPCL,HINDPETRO,0.625088,158.5918,0.0,39220,7
HINDZINC,VEDL,0.621889,157.2663,0.0,39220,8
BANKINDIA,CANBK,0.621704,157.1899,0.0,39220,9
BPCL,IOC,0.616216,154.9468,0.0,39220,10
BANKBARODA,PNB,0.614537,154.268,0.0,39220,11
BANKINDIA,PNB,0.613609,153.8939,0.0,39220,12
COCHINSHIP,GRSE,0.606509,151.0677,0.0,39220,13
NATIONALUM,VEDL,0.602237,149.3946,0.0,39220,14
HINDPETRO,IOC,0.601678,149.1772,0.0,39220,15
BANKBARODA,BANKINDIA,0.601406,149.0715,0.0,39220,16
BANKINDIA,UNIONBANK,0.599485,148.3276,0.0,39220,17
CANBK,UNIONBANK,0.59555,146.8159,0.0,39220,18
IRFC,RVNL,0.593719,146.1182,0.0,39220,19
HINDALCO,NATIONALUM,0.593664,146.0973,0.0,39220,20
HINDZINC,NATIONALUM,0.592095,145.5025,0.0,39220,21
HCLTECH,TCS,0.590445,144.8793,0.0,39220,22
HCLTECH,INFY,0.589673,144.589,0.0,39220,23
ADANIENT,ADANIGREEN,0.584965,142.8302,0.0,39220,24
BDL,HAL,0.582577,141.9468,0.0,39220,25
BEL,HAL,0.580419,141.153,0.0,39220,26
BEL,MAZDOCK,0.576508,139.7261,0.0,39220,27
ADANIENSOL,ADANIGREEN,0.574837,139.1208,0.0,39220,28
COCHINSHIP,MAZDOCK,0.574113,138.8593,0.0,39220,29
IREDA,IRFC,0.572724,138.3592,0.0,39220,30
DLF,GODREJPROP,0.572421,138.2503,0.0,39220,31
HAL,MAZDOCK,0.570293,137.488,0.0,39220,32
PNB,UNIONBANK,0.56687,136.2702,0.0,39220,33
BDL,BEL,0.564575,135.4596,0.0,39220,34
BANKINDIA,INDIANB,0.562262,134.6471,0.0,39220,35
HINDALCO,VEDL,0.561227,134.2852,0.0,39220,36
BANKBARODA,UNIONBANK,0.55855,133.3532,0.0,39220,37
TCS,WIPRO,0.552995,131.4384,0.0,39220,38
BDL,GRSE,0.549948,130.3991,0.0,39220,39
ADANIENT,ADANIPORTS,0.549592,130.278,0.0,39220,40
INFY,WIPRO,0.549146,130.1268,0.0,39220,41
JSWSTEEL,TATASTEEL,0.547638,129.6161,0.0,39220,42
GRAPHITE,HEG,0.547566,129.5917,0.0,39220,43
IRCON,RVNL,0.545531,128.9054,0.0,39220,44
HINDCOPPER,HINDZINC,0.541381,127.5158,0.0,39220,45
INDIANB,UNIONBANK,0.539389,126.8538,0.0,39220,46
IREDA,RVNL,0.536454,125.8837,0.0,39220,47
NMDC,TATASTEEL,0.536416,125.8709,0.0,39220,48
CANBK,INDIANB,0.532267,124.5106,0.0,39220,49
HINDALCO,HINDZINC,0.531517,124.2661,0.0,39220,50
HCLTECH,TECHM,0.530947,124.0802,0.0,39220,51
IRCON,RAILTEL,0.530915,124.07,0.0,39220,52
BSE,CDSL,0.530525,123.943,0.0,39220,53
BANKBARODA,INDIANB,0.530023,123.7798,0.0,39220,54
COFORGE,PERSISTENT,0.529418,123.5837,0.0,39220,55
NBCC,RVNL,0.529085,123.4755,0.0,39220,56
INDIANB,PNB,0.528053,123.1415,0.0,39220,57
DLF,PRESTIGE,0.527931,123.1021,0.0,39220,58
PREMIERENE,WAAREEENER,0.527219,122.8721,0.0,39220,59
INFY,TECHM,0.524573,122.0204,0.0,39220,60
TCS,TECHM,0.523757,121.7589,0.0,39220,61
JINDALSTEL,TATASTEEL,0.522234,121.2718,0.0,39220,62
NATIONALUM,NMDC,0.519357,120.356,0.0,39220,63
CHENNPETRO,MRPL,0.519052,120.2592,0.0,39220,64
CANBK,SBIN,0.517469,119.7579,0.0,39220,65
IREDA,NBCC,0.515088,119.0075,0.0,39220,66
HCLTECH,WIPRO,0.514035,118.6766,0.0,39220,67
IRCON,IRFC,0.513345,118.4603,0.0,39220,68
BANKBARODA,SBIN,0.510719,117.6397,0.0,39220,69
ADANIENSOL,ADANIENT,0.510193,117.4757,0.0,39220,70
GODREJPROP,PRESTIGE,0.506536,116.3417,0.0,39220,71
IREDA,RECLTD,0.506478,116.3239,0.0,39220,72
DATAPATTNS,GRSE,0.505987,116.1721,0.0,39220,73
HINDCOPPER,NATIONALUM,0.504114,115.5952,0.0,39220,74
HINDALCO,TATASTEEL,0.503233,115.3247,0.0,39220,75
ABCAPITAL,LTF,0.493682,112.4215,0.0,39220,76
BDL,COCHINSHIP,0.493505,112.3682,0.0,39220,77
IRFC,NBCC,0.493264,112.2957,0.0,39220,78
DLF,LODHA,0.492606,112.0978,0.0,39220,79
BEL,GRSE,0.490533,111.4763,0.0,39220,80
IRCON,JWL,0.490029,111.3253,0.0,39220,81
TECHM,WIPRO,0.488765,110.9479,0.0,39220,82
PNB,SBIN,0.488676,110.9214,0.0,39220,83
COFORGE,INFY,0.487563,110.5899,0.0,39220,84
SAIL,TATASTEEL,0.487049,110.437,0.0,39220,85
GODREJPROP,LODHA,0.486245,110.1981,0.0,39220,86
BANKINDIA,SBIN,0.485892,110.0935,0.0,39220,87
JBCHEPHARM,TORNTPHARM,0.484106,109.5646,0.0,39220,88
DLF,OBEROIRLTY,0.483266,109.3166,0.0,39220,89
NATIONALUM,TATASTEEL,0.482849,109.1935,0.0,39220,90
GODREJPROP,OBEROIRLTY,0.480775,108.583,0.0,39220,91
COFORGE,MPHASIS,0.480583,108.5268,0.0,39220,92
HEROMOTOCO,TVSMOTOR,0.480445,108.4862,0.0,39220,93
COFORGE,TCS,0.480064,108.3745,0.0,39220,94
DATAPATTNS,MAZDOCK,0.479345,108.1635,0.0,39220,95
JINDALSTEL,NMDC,0.478749,107.989,0.0,39220,96
NMDC,VEDL,0.478682,107.9695,0.0,39220,97
MPHASIS,PERSISTENT,0.478663,107.964,0.0,39220,98
COFORGE,TECHM,0.47824,107.8401,0.0,39220,99
JINDALSTEL,JSWSTEEL,0.477244,107.5492,0.0,39220,100
RAILTEL,RVNL,0.47696,107.4665,0.0,39220,101
HINDALCO,NMDC,0.476227,107.2529,0.0,39220,102
INOXWIND,SUZLON,0.475494,107.0394,0.0,39220,103
MAZDOCK,RVNL,0.474278,106.6862,0.0,39220,104
BAJAJFINSV,BAJFINANCE,0.474096,106.6333,0.0,39220,105
TATASTEEL,VEDL,0.471511,105.885,0.0,39220,106
INOXWIND,IREDA,0.471228,105.8035,0.0,39220,107
HUDCO,IREDA,0.468618,105.0518,0.0,39220,108
CDSL,IREDA,0.468388,104.9858,0.0,39220,109
IREDA,JIOFIN,0.46647,104.4361,0.0,39220,110
HINDZINC,NMDC,0.465536,104.1689,0.0,39220,111
M&M,TVSMOTOR,0.464958,104.0038,0.0,39220,112
ADANIGREEN,ADANIPORTS,0.464637,103.9123,0.0,39220,113
IRFC,RAILTEL,0.463854,103.6891,0.0,39220,114
GRSE,HAL,0.462828,103.3973,0.0,39220,115
COFORGE,HCLTECH,0.461475,103.013,0.0,39220,116
PERSISTENT,TECHM,0.461287,102.9598,0.0,39220,117
M&M,MARUTI,0.460228,102.6598,0.0,39220,118
OBEROIRLTY,PRESTIGE,0.460185,102.6475,0.0,39220,119
EICHERMOT,TVSMOTOR,0.460097,102.6228,0.0,39220,120
COFORGE,LTM,0.459551,102.4682,0.0,39220,121
INOXWIND,NBCC,0.459383,102.4207,0.0,39220,122
IRCON,IREDA,0.458962,102.3019,0.0,39220,123
BSE,MCX,0.458421,102.1493,0.0,39220,124
IRCON,RITES,0.458171,102.0785,0.0,39220,125
IRFC,RECLTD,0.458039,102.0415,0.0,39220,126
ANGELONE,BSE,0.457551,101.9038,0.0,39220,127
LODHA,PRESTIGE,0.457512,101.893,0.0,39220,128
IREDA,PFC,0.457218,101.8102,0.0,39220,129
SBIN,UNIONBANK,0.456457,101.5961,0.0,39220,130
IREDA,SUZLON,0.456338,101.5626,0.0,39220,131
HINDCOPPER,VEDL,0.455493,101.3253,0.0,39220,132
COFORGE,WIPRO,0.4527,100.5432,0.0,39220,133
OIL,ONGC,0.450011,99.7937,0.0,39220,134
HUDCO,NBCC,0.44953,99.66,0.0,39220,135
INFY,PERSISTENT,0.449526,99.6589,0.0,39220,136
BDL,DATAPATTNS,0.449022,99.5191,0.0,39220,137
JIOFIN,NBCC,0.447525,99.104,0.0,39220,138
ACC,AMBUJACEM,0.447382,99.0643,0.0,39220,139
IRCON,TITAGARH,0.4472,99.014,0.0,39220,140
CDSL,NBCC,0.44677,98.8949,0.0,39220,141
HCLTECH,PERSISTENT,0.446573,98.8406,0.0,39220,142
ADANIENT,AMBUJACEM,0.44637,98.7845,0.0,39220,143
ANGELONE,CDSL,0.446234,98.7468,0.0,39220,144
IREDA,MAZDOCK,0.446122,98.716,0.0,39220,145
HINDZINC,TATASTEEL,0.446084,98.7054,0.0,39220,146
MAZDOCK,NBCC,0.445906,98.656,0.0,39220,147
INFY,LTM,0.445873,98.6471,0.0,39220,148
COCHINSHIP,DATAPATTNS,0.445652,98.5861,0.0,39220,149
EICHERMOT,M&M,0.445431,98.5249,0.0,39220,150
CDSL,JIOFIN,0.444896,98.3776,0.0,39220,151
MPHASIS,TCS,0.444475,98.2614,0.0,39220,152
BEML,COCHINSHIP,0.44445,98.2546,0.0,39220,153
MPHASIS,TECHM,0.444404,98.2418,0.0,39220,154
KPITTECH,TATAELXSI,0.444262,98.2028,0.0,39220,155
IRFC,MAZDOCK,0.444238,98.1963,0.0,39220,156
INFY,MPHASIS,0.44314,97.894,0.0,39220,157
PERSISTENT,TCS,0.442746,97.7858,0.0,39220,158
BEML,MAZDOCK,0.441924,97.5601,0.0,39220,159
LTM,TCS,0.441371,97.4086,0.0,39220,160
BANKINDIA,MAHABANK,0.441192,97.3596,0.0,39220,161
BEML,GRSE,0.441161,97.351,0.0,39220,162
KEI,POLYCAB,0.440875,97.2727,0.0,39220,163
BEL,COCHINSHIP,0.440332,97.1239,0.0,39220,164
NBCC,RECLTD,0.43987,96.9975,0.0,39220,165
BAJAJ-AUTO,EICHERMOT,0.43963,96.9319,0.0,39220,166
JBMA,OLECTRA,0.439465,96.8869,0.0,39220,167
KAYNES,PGEL,0.43878,96.6999,0.0,39220,168
LTM,TECHM,0.438213,96.5451,0.0,39220,169
COFORGE,KPITTECH,0.437585,96.3741,0.0,39220,170
NMDC,SAIL,0.437582,96.3731,0.0,39220,171
NBCC,SUZLON,0.437089,96.239,0.0,39220,172
LTM,PERSISTENT,0.436365,96.042,0.0,39220,173
BDL,RVNL,0.436235,96.0067,0.0,39220,174
MAZDOCK,SUZLON,0.436161,95.9865,0.0,39220,175
CANBK,RECLTD,0.436022,95.9488,0.0,39220,176
JSWSTEEL,NMDC,0.435788,95.8853,0.0,39220,177
NTPC,POWERGRID,0.435678,95.8554,0.0,39220,178
HCLTECH,LTM,0.435458,95.7957,0.0,39220,179
DLF,NBCC,0.435014,95.6752,0.0,39220,180
HINDALCO,JSWSTEEL,0.434169,95.446,0.0,39220,181
CDSL,IRFC,0.434088,95.4242,0.0,39220,182
JIOFIN,RECLTD,0.433652,95.3062,0.0,39220,183
HEROMOTOCO,M&M,0.433478,95.2589,0.0,39220,184
EICHERMOT,MARUTI,0.43329,95.2082,0.0,39220,185
ADANIGREEN,ADANIPOWER,0.433045,95.1418,0.0,39220,186
