symbol_a,symbol_b,net_profit,gross_profit,total_fees,win_rate,trade_count,max_drawdown,exit_reasons
PFC,RECLTD,-9482.026159692647,11935.152050001867,21417.178209694513,0.3353658536585366,328,9537.31691118205,mr;se
BDL,MAZDOCK,-1477.1958966510579,404.3115500001286,1881.5074466511865,0.3448275862068966,29,1638.0183282789803,mr
GRSE,MAZDOCK,-4073.2560738273837,14558.660350001614,18631.91642382902,0.42160278745644597,287,7590.076858079219,mr;se
BANKBARODA,CANBK,7375.569150006375,24819.80098500143,17444.231834995026,0.5842696629213483,267,1282.37823798329,mr;se
BPCL,HINDPETRO,12989.577687594632,29518.16295000133,16528.585262406694,0.6403162055335968,253,545.2332807970624,mr;se
BPCL,IOC,7342.576352728439,25634.852450001315,18292.276097272897,0.5642857142857143,280,912.9383740097819,mr;se
INFY,TCS,-21288.29840571797,-638.6176499981286,20649.680755719837,0.23974763406940064,317,21167.310578558976,mr;se
IRFC,RVNL,-4157.343082742895,8718.189430001203,12875.532512744103,0.3147208121827411,197,4711.757917217049,mr;se
BEL,HAL,-10023.333658215426,9637.682600001535,19661.016258216947,0.3540983606557377,305,10537.911701863384,mr;se;sl
CANBK,PNB,-29041.829950830605,-12966.405709998617,16075.424240831988,0.11788617886178862,246,29042.687638842188,hl;mr;se
COCHINSHIP,GRSE,15059.549252279601,26905.81415000102,11846.264897721412,0.7087912087912088,182,621.5398080167779,mr;se
BANKINDIA,CANBK,5994.54496401385,18869.51745500116,12874.972490987328,0.5989847715736041,197,1487.6608179116365,mr;se
BDL,HAL,-5421.016103119185,13417.015850001448,18838.03195312061,0.386986301369863,292,9159.464064622189,mr;se
BANKINDIA,UNIONBANK,11415.675327655592,28735.77240000148,17320.0970723459,0.6037735849056604,265,757.1591303088519,mr;se
HAL,MAZDOCK,-12039.14584113916,-5749.712399999493,6289.433441139664,0.16494845360824742,97,12118.519337513459,mr;se;sl
HINDPETRO,IOC,-24221.993598249042,-5728.350359998463,18493.64323825056,0.21201413427561838,283,24201.75615697723,mr;se;sl
