Pair,Target_HL_Mins,Resulting_Spread_HL,Spread_Variance,Q_Beta_Used
PFC-RECLTD,30,5.68747262334473,2.1572798233972003e-06,3.5659139013260686e-05
PFC-RECLTD,60,9.906371588754197,3.967553159953639e-06,8.914487319986334e-06
PFC-RECLTD,120,16.878673225926676,6.954279843129656e-06,2.2286032407236855e-06
BDL-MAZDOCK,30,6.171845612493619,3.7954467859394115e-06,8.107508760796279e-05
BDL-MAZDOCK,60,11.269438418312182,7.449503512835749e-06,2.026809565366109e-05
BDL-MAZDOCK,120,20.540412677588545,1.4313696294773705e-05,5.066981648599844e-06
GRSE-MAZDOCK,30,6.546166854193791,6.787074057300988e-06,0.00040696932246346
GRSE-MAZDOCK,60,11.535804404385345,1.2810071422665138e-05,0.00010173893607960686
GRSE-MAZDOCK,120,20.203753206970436,2.336782568624506e-05,2.5434521864925305e-05
BANKBARODA-CANBK,30,7.04156347186554,2.5893674581487018e-06,3.3088183747545315e-05
BANKBARODA-CANBK,60,12.911327853882785,5.033213155234415e-06,8.27176994792783e-06
BANKBARODA-CANBK,120,24.204884586071355,9.746289872885428e-06,2.0679252379598443e-06
BPCL-HINDPETRO,30,4.189996247031458,1.1801457339370574e-06,0.00036668818830570935
BPCL-HINDPETRO,60,6.603206804397224,2.431299733492466e-06,9.166898852561789e-05
BPCL-HINDPETRO,120,10.675210461886854,4.685292337164592e-06,2.291705597516825e-05
