stage3_rank,symbol_a,symbol_b,Q_beta,Q_alpha,R,half_life_minutes,capital_inr,skipped,skip_reason,error,total_trades,win_rate_pct,total_gross_pnl,total_net_pnl,total_fees_paid,avg_fees_multiple,avg_gross_pnl_per_trade,avg_net_pnl_per_trade,avg_trade_duration_minutes,max_drawdown_pct,sharpe_ratio,calmar_ratio,n_exits_mean_reversion,n_exits_halflife_timeout,n_exits_session_end,n_exits_data_end,lagging_asset,leader_asset,total_bars,live_bars,data_start,data_end,runtime_s,pearson_rho,stage1_rank,Q_beta_s2,Q_alpha_s2,R_s2,SNR_beta_R,half_life_minutes_s2,half_life_hours,adf_pvalue,hurst_exponent,beta_mean,beta_std
1,HUDCO,IRFC,3.027695e-08,1e-12,0.0007397514,10.360009,10000.0,False,,,325,12.615384615384615,584.1699999999461,-15924.264295558758,16508.434295558687,0.03533225299765984,1.7974461538459865,-48.997736294026936,10.28923076923077,160.21677226759454,-16.797193993573618,-1.5338270512993675,25,287,13,0,HUDCO,IRFC,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.861,0.424446,211,3.027695e-08,1e-12,0.0007397514,4.0928547e-05,10.360009,0.17266682,0.0,0.23549251,0.43955884,0.015419083
2,DIVISLAB,LAURUSLABS,1e-12,1e-12,6.8804167e-06,96.282487,10000.0,False,,,79,22.78481012658228,-565.749999999989,-4566.35560982849,4000.6056098284994,-0.14149554363995387,-7.161392405063151,-57.801969744664426,89.41772151898734,45.93057385820495,-11.766860260470352,-1.534238413534862,3,67,9,0,LAURUSLABS,DIVISLAB,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.888,0.380349,432,1e-12,1e-12,6.8804167e-06,1.4534003e-07,96.282487,1.6047081,6.4268036e-22,0.46539762,0.20019054,0.0038464323
3,EICHERMOT,MOTHERSON,2.4737367e-09,1e-12,0.0028897669,92.942066,10000.0,False,,,77,24.675324675324674,307.5000000000591,-3528.49700532494,3835.9970053249995,0.08009206157134434,3.9935064935072613,-45.82463643279144,80.87012987012987,35.358476262849265,-11.385867154409508,-1.5400017205186542,11,56,10,0,EICHERMOT,MOTHERSON,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.628,0.376041,471,2.4737367e-09,1e-12,0.0028897669,8.5603332e-07,92.942066,1.5490344,1.0499054e-24,0.45880631,-0.26598232,0.011668395
4,JINDALSTEL,VEDL,1e-12,3.278528e-06,0.040036366,40.705638,10000.0,False,,,142,24.64788732394366,317.16000000008,-6894.956828115918,7212.116828115998,0.04350353657621425,2.2335211267611284,-48.55603400081633,38.83802816901409,68.97437732018312,-9.085024624650277,-1.5426548073198725,8,125,9,0,VEDL,JINDALSTEL,44205,40455,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.514,0.401466,307,1e-12,3.278528e-06,0.040036366,2.4977292e-11,40.705638,0.6784273,0.0,0.41701635,-1.7059645,2.1334841e-06
5,JSWENERGY,TATAPOWER,3.7806998e-07,0.00029804267,0.11157028,6.2044104,10000.0,False,,,440,10.227272727272727,1683.450000000014,-20646.97392132047,22330.423921320496,0.07525344103194637,3.826022727272759,-46.92494073027384,6.720454545454546,206.53855425584976,-19.261574735747985,-1.5426957059378852,42,390,8,0,JSWENERGY,TATAPOWER,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,50.163,0.399893,314,3.7806998e-07,0.00029804267,0.11157028,3.3886264e-06,6.2044104,0.10340684,0.0,0.12930066,-2.4012526,0.026627451
6,CDSL,MAZDOCK,1e-12,1.7371665e-05,0.016546637,9.1453536,10000.0,False,,,354,11.016949152542374,-267.4999999999777,-18122.30993016098,17854.809930161,-0.015127513650882997,-0.7556497175140614,-51.19296590440954,9.80225988700565,181.23210261596984,-14.700209280602405,-1.5431332124012533,16,333,5,0,MAZDOCK,CDSL,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.375,0.406895,284,1e-12,1.7371665e-05,0.016546637,6.0435243e-11,9.1453536,0.15242256,0.0,0.22513579,1.2194612,3.7975324e-07
7,RECLTD,TATAPOWER,1e-12,2.0457224e-05,0.0068107016,5.1860088,10000.0,False,,,531,3.9548022598870056,-19.40000000003937,-26978.044621927016,26958.644621927007,-0.0007319186971391742,-0.0365348399247464,-50.80611039910931,5.860640301318267,269.77940659968016,-17.271159009463,-1.5432158234434545,32,494,5,0,TATAPOWER,RECLTD,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.704,0.399179,319,1e-12,2.0457224e-05,0.0068107016,1.4682775e-10,5.1860088,0.08643348,0.0,0.12583216,1.4223564,3.1130304e-07
8,ADANIGREEN,AMBUJACEM,2.5353556e-09,1.9627868e-05,0.0081128558,5.0818843,10000.0,False,,,556,5.755395683453237,1402.7000000000826,-26812.678498583937,28215.378498584003,0.04966292232562046,2.5228417266188528,-48.22424190392791,5.861510791366906,268.0866175530794,-20.148735869704275,-1.543441095764506,35,517,4,0,AMBUJACEM,ADANIGREEN,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.584,0.386669,387,2.5353556e-09,1.9627868e-05,0.0081128558,3.1251087e-07,5.0818843,0.084698071,0.0,0.12813234,1.0236024,0.00016988934
9,CGPOWER,MAZDOCK,1e-12,3.0290585e-06,0.0031942696,9.1780366,10000.0,False,,,315,12.380952380952381,658.3999999999382,-15230.024952800064,15888.424952800002,0.0411183745951644,2.0901587301585343,-48.34928556444464,9.81904761904762,152.22886914876065,-18.177868184520932,-1.5439334903153579,11,300,4,0,MAZDOCK,CGPOWER,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.654,0.376074,470,1e-12,3.0290585e-06,0.0031942696,3.1306061e-10,9.1780366,0.15296728,0.0,0.2209245,0.82167793,6.6396749e-07
10,BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,10000.0,False,,,427,15.925058548009368,1932.8999999999546,-19656.222450223042,21589.12245022301,0.08936586543765676,4.526697892271553,-46.03330784595561,6.711943793911007,196.41638684223042,-14.593734308270307,-1.5443556980344926,30,387,10,0,COCHINSHIP,BDL,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,50.108,0.493505,77,1e-12,6.5688583e-07,0.00051259739,1.9508488e-09,6.3743849,0.10623975,0.0,0.17978191,1.0217604,7.9393109e-06
11,BANKINDIA,SBIN,1e-12,1.4301541e-06,0.00087659861,6.9216142,10000.0,False,,,459,8.278867102396514,1168.3499999999767,-22152.404248365314,23320.754248365283,0.050015180165322415,2.5454248366012564,-48.2623186238896,6.864923747276689,221.34100889539198,-15.891069624135763,-1.5444860035589552,18,435,6,0,BANKINDIA,SBIN,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.931,0.485892,87,1e-12,1.4301541e-06,0.00087659861,1.140773e-09,6.9216142,0.11536024,0.0,0.16509658,1.7718506,4.7285569e-06
