pair,fsl_net_pnl,fsl_trades,wc_net_pnl,wc_trades,dr_net_pnl,dr_trades
PFC-RECLTD,-2861.877450000051,323,5114.342774999941,222,2223.777799999976,228
BDL-MAZDOCK,-12110.232899999888,295,-7051.939699999999,188,-5356.285849999967,189
GRSE-MAZDOCK,-2672.5123499999054,309,17873.94065000007,203,15549.62395000002,209
BANKBARODA-CANBK,-6152.902874999976,277,-10000.976959999996,198,-11228.625425000015,199
BPCL-HINDPETRO,-14388.122750000051,582,-10593.401599999946,216,-4251.545825000098,256
CANBK-PNB,-16983.822160000003,281,-1075.5058250000402,202,-866.226839999943,214
IRFC-RVNL,-4707.042539999988,392,6603.657314999975,261,1986.1917449999946,285
BPCL-IOC,-8866.090475000205,578,2558.5515250000044,228,-5098.056775000036,277
INFY-TCS,-18766.605800000092,415,-9613.197899999986,201,-10991.153900000021,234
BANKINDIA-CANBK,-8366.736665000071,252,-5016.6494950000915,193,-5172.758565000089,192
BEL-HAL,-14790.567575000014,303,-16725.8153,179,-15101.358300000027,182
COCHINSHIP-GRSE,-3881.312699999963,289,-46.96479999996336,210,558.2509500000269,217
BDL-HAL,-30063.766699999887,300,-25903.69884999987,200,-22537.7124499999,203
BANKINDIA-UNIONBANK,-4076.7844349999505,355,4902.549595000051,217,3453.1763949999877,236
HAL-MAZDOCK,-6721.340649999955,274,-10368.222300000105,179,-10542.684350000065,178
ADANIENT-ADANIGREEN,-20074.547899999907,515,-4448.40589999997,213,-13613.601200000003,276
IREDA-IRFC,-3665.4525849999627,444,-6567.098354999971,235,-8112.110654999942,243
HINDPETRO-IOC,-7929.65149999992,544,-2593.9613499999814,210,-1668.6785499999896,226
BANKINDIA-PNB,-5358.070919999905,278,-8790.977134999957,187,-6636.1799599999795,200
BANKBARODA-PNB,-4287.299450000011,282,-2333.5569699999287,209,418.94573000002856,224
CANBK-UNIONBANK,-16534.67217500003,336,-6274.458030000058,194,-6213.34959000004,196
BEL-MAZDOCK,-9467.922399999974,276,109.42302500001824,183,391.43140000003586,183
ADANIENSOL-ADANIGREEN,-7863.827149999886,519,-18608.36072500003,211,-17803.249499999987,216
BANKBARODA-BANKINDIA,-13761.212989999913,307,-9384.071699999957,229,-10786.551175000002,234
BDL-BEL,-16569.714099999965,295,-6720.134749999952,199,-9521.754849999963,199
COCHINSHIP-MAZDOCK,588.809700000038,330,7371.171900000067,226,3869.2185999999874,239
DLF-GODREJPROP,-9162.448400000025,416,-12954.71574999997,219,-14732.876375000049,234
BDL-GRSE,-8944.794899999953,291,-14251.258349999924,200,-15266.589149999947,200
PNB-UNIONBANK,-15352.914815000046,343,-10839.286980000074,209,-11077.930475000041,210
HINDZINC-VEDL,-14968.53784999999,436,-11194.148574999967,188,-10349.939474999945,203
NATIONALUM-VEDL,-21380.703825000026,486,-6019.631025000063,180,-10167.701350000008,191
