symbol_a,symbol_b,pearson_rho,t_stat,p_value,n_obs,rank
PFC,RECLTD,0.65714,183.1415,0.0,44132,1
BDL,MAZDOCK,0.643701,176.6985,0.0,44132,2
GRSE,MAZDOCK,0.615188,163.9228,0.0,44132,3
BANKBARODA,CANBK,0.600186,157.6297,0.0,44132,4
BPCL,HINDPETRO,0.594945,155.4943,0.0,44132,5
CANBK,PNB,0.594505,155.3161,0.0,44132,6
IRFC,RVNL,0.59276,154.613,0.0,44132,7
BPCL,IOC,0.590968,153.894,0.0,44132,8
INFY,TCS,0.589765,153.4135,0.0,44132,9
BANKINDIA,CANBK,0.58901,153.1123,0.0,44132,10
BEL,HAL,0.587629,152.5639,0.0,44132,11
COCHINSHIP,GRSE,0.582584,150.5766,0.0,44132,12
BDL,HAL,0.578068,148.8201,0.0,44132,13
BANKINDIA,UNIONBANK,0.577812,148.7212,0.0,44132,14
HAL,MAZDOCK,0.575121,147.6852,0.0,44132,15
ADANIENT,ADANIGREEN,0.571108,146.1531,0.0,44132,16
IREDA,IRFC,0.571097,146.1491,0.0,44132,17
HINDPETRO,IOC,0.571048,146.1305,0.0,44132,18
BANKINDIA,PNB,0.569866,145.6824,0.0,44132,19
BANKBARODA,PNB,0.569572,145.5708,0.0,44132,20
CANBK,UNIONBANK,0.567867,144.9271,0.0,44132,21
BEL,MAZDOCK,0.565323,143.972,0.0,44132,22
ADANIENSOL,ADANIGREEN,0.561932,142.7081,0.0,44132,23
BANKBARODA,BANKINDIA,0.557365,141.0225,0.0,44132,24
BDL,BEL,0.557186,140.9568,0.0,44132,25
COCHINSHIP,MAZDOCK,0.555303,140.2675,0.0,44132,26
DLF,GODREJPROP,0.548344,137.7471,0.0,44132,27
BDL,GRSE,0.546094,136.941,0.0,44132,28
PNB,UNIONBANK,0.540264,134.8719,0.0,44132,29
HINDZINC,VEDL,0.537657,133.8873,0.0,44087,30
NATIONALUM,VEDL,0.532789,132.1912,0.0,44087,31
BANKBARODA,UNIONBANK,0.531615,131.8522,0.0,44132,32
IRCON,RVNL,0.530898,131.6045,0.0,44132,33
BANKINDIA,INDIANB,0.525994,129.921,0.0,44132,34
ADANIENT,ADANIPORTS,0.524966,129.5702,0.0,44132,35
DATAPATTNS,GRSE,0.524033,129.2528,0.0,44132,36
HCLTECH,TCS,0.52113,128.2687,0.0,44132,37
BSE,CDSL,0.520572,128.0803,0.0,44132,38
IREDA,RVNL,0.51961,127.756,0.0,44132,39
HINDZINC,NATIONALUM,0.518024,127.2228,0.0,44132,40
GRAPHITE,HEG,0.517477,127.0394,0.0,44132,41
INDIANB,UNIONBANK,0.515136,126.2563,0.0,44132,42
HINDALCO,NATIONALUM,0.514399,126.0106,0.0,44132,43
IRCON,RAILTEL,0.511549,125.0639,0.0,44132,44
COFORGE,PERSISTENT,0.511134,124.9266,0.0,44132,45
HCLTECH,INFY,0.510947,124.8648,0.0,44132,46
IRCON,IRFC,0.51091,124.8526,0.0,44132,47
CHENNPETRO,MRPL,0.510143,124.5993,0.0,44132,48
NBCC,RVNL,0.506993,123.5626,0.0,44132,49
JSWSTEEL,TATASTEEL,0.505216,122.9806,0.0,44132,50
TCS,WIPRO,0.50451,122.75,0.0,44132,51
CANBK,INDIANB,0.501354,121.7234,0.0,44132,52
NMDC,TATASTEEL,0.500088,121.3132,0.0,44132,53
DLF,PRESTIGE,0.49992,121.2591,0.0,44132,54
INFY,WIPRO,0.497724,120.5504,0.0,44132,55
IREDA,NBCC,0.496067,120.0178,0.0,44132,56
ADANIENSOL,ADANIENT,0.49306,119.0558,0.0,44132,57
IREDA,RECLTD,0.491505,118.5602,0.0,44132,58
JINDALSTEL,TATASTEEL,0.490031,118.0921,0.0,44132,59
CANBK,SBIN,0.489448,117.9075,0.0,44132,60
IRFC,NBCC,0.487149,117.1807,0.0,44132,61
BANKBARODA,INDIANB,0.486455,116.962,0.0,44132,62
HCLTECH,TECHM,0.48574,116.7368,0.0,44132,63
DLF,LODHA,0.485088,116.5318,0.0,44132,64
INDIANB,PNB,0.484046,116.205,0.0,44132,65
GODREJPROP,PRESTIGE,0.483236,115.9512,0.0,44132,66
BDL,COCHINSHIP,0.483043,115.8909,0.0,44132,67
BEL,GRSE,0.482475,115.7132,0.0,44132,68
DATAPATTNS,MAZDOCK,0.480078,114.9653,0.0,44132,69
TCS,TECHM,0.478622,114.5131,0.0,44132,70
HINDALCO,VEDL,0.478512,114.4203,0.0,44087,71
IRCON,JWL,0.477258,114.0902,0.0,44132,72
GODREJPROP,LODHA,0.477096,114.04,0.0,44132,73
BANKBARODA,SBIN,0.475567,113.5677,0.0,44132,74
HINDALCO,TATASTEEL,0.472822,112.7225,0.0,44132,75
INFY,TECHM,0.472626,112.6625,0.0,44132,76
COFORGE,MPHASIS,0.472529,112.6328,0.0,44132,77
ABCAPITAL,LTF,0.471639,112.3598,0.0,44132,78
GRSE,HAL,0.469683,111.7615,0.0,44132,79
NATIONALUM,NMDC,0.466342,110.7444,0.0,44132,80
DLF,OBEROIRLTY,0.464588,110.2132,0.0,44132,81
JBCHEPHARM,TORNTPHARM,0.464549,110.2014,0.0,44132,82
GODREJPROP,OBEROIRLTY,0.46386,109.993,0.0,44132,83
IRFC,RECLTD,0.4625,109.5826,0.0,44132,84
RAILTEL,RVNL,0.461727,109.3499,0.0,44132,85
BSE,MCX,0.461655,109.3282,0.0,44132,86
HCLTECH,WIPRO,0.460261,108.909,0.0,44132,87
MAZDOCK,RVNL,0.459466,108.6704,0.0,44132,88
INOXWIND,SUZLON,0.458086,108.2574,0.0,44132,89
INOXWIND,IREDA,0.457563,108.101,0.0,44132,90
HUDCO,IREDA,0.455471,107.477,0.0,44132,91
PNB,SBIN,0.454434,107.1685,0.0,44132,92
COFORGE,INFY,0.453722,106.9571,0.0,44132,93
TECHM,WIPRO,0.45292,106.7191,0.0,44132,94
MPHASIS,PERSISTENT,0.452273,106.5273,0.0,44132,95
IRFC,RAILTEL,0.451816,106.3921,0.0,44132,96
SAIL,TATASTEEL,0.451793,106.3854,0.0,44132,97
COFORGE,TECHM,0.451254,106.2258,0.0,44132,98
BAJAJFINSV,BAJFINANCE,0.450904,106.1226,0.0,44132,99
CDSL,IREDA,0.450837,106.1028,0.0,44132,100
ANGELONE,BSE,0.449952,105.8414,0.0,44132,101
COFORGE,TCS,0.449621,105.7438,0.0,44132,102
BDL,DATAPATTNS,0.449327,105.6574,0.0,44132,103
COCHINSHIP,DATAPATTNS,0.449192,105.6175,0.0,44132,104
BANKINDIA,SBIN,0.448617,105.4481,0.0,44132,105
ADANIGREEN,ADANIPORTS,0.448498,105.4131,0.0,44132,106
INOXWIND,NBCC,0.446663,104.8742,0.0,44132,107
HEROMOTOCO,TVSMOTOR,0.445767,104.6117,0.0,44132,108
IREDA,PFC,0.445264,104.4642,0.0,44132,109
JINDALSTEL,JSWSTEEL,0.444487,104.237,0.0,44132,110
LODHA,PRESTIGE,0.443471,103.9404,0.0,44132,111
JINDALSTEL,NMDC,0.443385,103.9154,0.0,44132,112
IREDA,JIOFIN,0.442388,103.6246,0.0,44132,113
HINDCOPPER,HINDZINC,0.4416,103.3953,0.0,44132,114
IRCON,RITES,0.441026,103.2285,0.0,44132,115
IRFC,MAZDOCK,0.440658,103.1214,0.0,44132,116
IRCON,TITAGARH,0.439706,102.8453,0.0,44132,117
HINDALCO,HINDZINC,0.439687,102.8397,0.0,44132,118
COFORGE,WIPRO,0.43935,102.742,0.0,44132,119
IRCON,IREDA,0.439188,102.6953,0.0,44132,120
IREDA,SUZLON,0.437998,102.3508,0.0,44132,121
ANGELONE,CDSL,0.437563,102.225,0.0,44132,122
NATIONALUM,TATASTEEL,0.436268,101.8513,0.0,44132,123
CDSL,IRFC,0.435916,101.7497,0.0,44132,124
EICHERMOT,HEROMOTOCO,0.434704,101.4009,0.0,44132,125
HUDCO,NBCC,0.434636,101.3814,0.0,44132,126
OBEROIRLTY,PRESTIGE,0.431698,100.5382,0.0,44132,127
NTPC,POWERGRID,0.431323,100.4311,0.0,44132,128
COFORGE,HCLTECH,0.431093,100.3651,0.0,44132,129
HUDCO,IRFC,0.430381,100.1617,0.0,44132,130
ADANIGREEN,ADANIPOWER,0.430292,100.1364,0.0,44132,131
BAJAJ-AUTO,HEROMOTOCO,0.429533,99.9197,0.0,44132,132
TATASTEEL,VEDL,0.429261,99.7911,0.0,44087,133
COFORGE,OFSS,0.428827,99.7185,0.0,44132,134
SBIN,UNIONBANK,0.428593,99.6518,0.0,44132,135
MAZDOCK,NBCC,0.428455,99.6125,0.0,44132,136
COFORGE,LTM,0.427901,99.4546,0.0,44132,137
IREDA,MAZDOCK,0.427858,99.4425,0.0,44132,138
INOXWIND,IRFC,0.427141,99.2385,0.0,44132,139
JWL,TITAGARH,0.42662,99.0907,0.0,44132,140
BEML,COCHINSHIP,0.426347,99.0131,0.0,44132,141
PERSISTENT,TECHM,0.426089,98.94,0.0,44132,142
BEL,COCHINSHIP,0.425908,98.8886,0.0,44132,143
RVNL,TITAGARH,0.424859,98.5912,0.0,44132,144
IRFC,PFC,0.424512,98.4932,0.0,44132,145
JWL,RVNL,0.423401,98.179,0.0,44132,146
BEML,MAZDOCK,0.423369,98.1699,0.0,44132,147
BDL,RVNL,0.423046,98.0787,0.0,44132,148
NMDC,VEDL,0.422868,97.9784,0.0,44087,149
COCHINSHIP,HAL,0.422772,98.0014,0.0,44132,150
BEML,GRSE,0.422364,97.8861,0.0,44132,151
IRFC,SUZLON,0.421195,97.5567,0.0,44132,152
NBCC,RECLTD,0.420554,97.3763,0.0,44132,153
CDSL,NBCC,0.420262,97.2941,0.0,44132,154
BAJAJ-AUTO,EICHERMOT,0.418699,96.8552,0.0,44132,155
EICHERMOT,TVSMOTOR,0.418138,96.6979,0.0,44132,156
MAZDOCK,SUZLON,0.417075,96.4002,0.0,44132,157
LODHA,OBEROIRLTY,0.416946,96.3641,0.0,44132,158
JIOFIN,NBCC,0.416631,96.2762,0.0,44132,159
M&M,MARUTI,0.416573,96.2598,0.0,44132,160
JBMA,OLECTRA,0.4162,96.1557,0.0,44132,161
ADANIENT,AMBUJACEM,0.415881,96.0665,0.0,44132,162
OFSS,PERSISTENT,0.415812,96.0472,0.0,44132,163
