pair,hl_max_std,hl_medoid_std,regime_stable
ABB-SIEMENS,1060.46,194.8,False
ABCAPITAL-BANKINDIA,40269.01,132.6,False
ABCAPITAL-CANBK,200.86,99.64,False
ABCAPITAL-CDSL,95.01,60.99,False
ABCAPITAL-IREDA,153.87,140.64,False
ABCAPITAL-IRFC,230.24,138.92,False
ABCAPITAL-JIOFIN,106.46,93.6,False
ABCAPITAL-LTF,149.41,111.64,False
ABCAPITAL-PFC,320.01,115.76,False
ABCAPITAL-PNB,506.22,159.87,False
ABCAPITAL-RECLTD,128.73,110.45,False
ACC-AMBUJACEM,183.53,54.62,False
ADANIENSOL-ADANIENT,214.65,149.15,False
ADANIENSOL-ADANIGREEN,329.57,372.49,False
ADANIENSOL-ADANIPORTS,1024.43,460.71,False
ADANIENSOL-ADANIPOWER,767.92,247.6,False
ADANIENSOL-JSWENERGY,4504.8,734.99,False
ADANIENSOL-TATAPOWER,985.01,286.6,False
ADANIENT-ADANIGREEN,1012.7,35.83,False
ADANIENT-ADANIPORTS,343.02,131.41,False
ADANIENT-ADANIPOWER,754.44,127.17,False
ADANIENT-AMBUJACEM,6029.77,675.87,False
ADANIENT-IREDA,167750.7,365.02,False
ADANIENT-JIOFIN,2055.69,411.73,False
ADANIENT-NBCC,51808.29,141.09,False
ADANIENT-TATAPOWER,924.98,187.62,False
ADANIGREEN-ADANIPORTS,111.79,151.05,False
ADANIGREEN-ADANIPOWER,1745.07,1064.93,False
ADANIGREEN-AMBUJACEM,1596.26,1127.66,False
ADANIGREEN-ATGL,3944.64,2165.55,False
ADANIGREEN-IREDA,2405.08,530.82,False
ADANIGREEN-JSWENERGY,3181.33,1569.21,False
ADANIGREEN-NHPC,4897.44,981.94,False
ADANIGREEN-TATAPOWER,6627.0,165.4,False
ADANIPORTS-AMBUJACEM,1872.57,572.45,False
ADANIPORTS-GMRAIRPORT,681.62,589.89,False
ADANIPORTS-JIOFIN,5490.55,304.58,False
ADANIPOWER-ATGL,1844.14,309.81,False
AMBER-DIXON,14998.11,1123.91,False
AMBUJACEM-ULTRACEMCO,258.89,95.89,False
ANGELONE-BSE,553.48,458.73,False
ANGELONE-CDSL,2250.78,448.57,False
ANGELONE-IREDA,3241.64,178.31,False
AUROPHARMA-LUPIN,462.76,266.7,False
AUROPHARMA-ZYDUSLIFE,181.09,159.37,False
BAJAJ-AUTO-EICHERMOT,1140.46,237.55,False
BAJAJ-AUTO-HEROMOTOCO,1502.43,383.95,False
BAJAJ-AUTO-M&M,1468.87,371.69,False
BAJAJ-AUTO-MARUTI,1233.25,765.6,False
BAJAJ-AUTO-TVSMOTOR,568.56,216.59,False
BAJAJFINSV-BAJFINANCE,287.39,70.63,False
BAJFINANCE-CHOLAFIN,862.78,440.45,False
BAJFINANCE-JIOFIN,2138079.64,427.31,False
BAJFINANCE-SHRIRAMFIN,399.38,180.32,False
BANDHANBNK-BANKINDIA,1161.52,436.71,False
BANKBARODA-BANKINDIA,411.03,148.77,False
BANKBARODA-CANBK,394.49,161.65,False
BANKBARODA-CENTRALBK,503.86,279.01,False
BANKBARODA-INDIANB,26071.49,123.86,False
BANKBARODA-IREDA,4436.72,608.5,False
BANKBARODA-MAHABANK,958.5,181.39,False
BANKBARODA-PFC,3336.78,148.66,False
BANKBARODA-PNB,184.27,69.39,False
BANKBARODA-RECLTD,4386.9,482.77,False
BANKBARODA-SBIN,1010.02,65.46,False
BANKBARODA-UNIONBANK,330.45,199.87,False
BANKINDIA-CANBK,256.54,334.9,False
BANKINDIA-CENTRALBK,282.3,213.72,False
BANKINDIA-IDBI,233.88,125.34,False
BANKINDIA-INDIANB,1170.55,86.66,False
BANKINDIA-IREDA,2684.67,356.87,False
BANKINDIA-IRFC,2450.11,262.12,False
BANKINDIA-JIOFIN,1639.43,383.01,False
BANKINDIA-LTF,693.62,341.4,False
BANKINDIA-MAHABANK,1671.4,45.08,False
BANKINDIA-NBCC,2607.31,572.81,False
BANKINDIA-PFC,2226.9,116.08,False
BANKINDIA-PNB,2159.79,138.9,False
BANKINDIA-RBLBANK,1976.01,189.98,False
BANKINDIA-RECLTD,1335.56,138.78,False
BANKINDIA-SBIN,1311.42,58.91,False
BANKINDIA-UNIONBANK,523.11,114.48,False
BANKINDIA-YESBANK,392.33,147.63,False
BDL-BEL,2292.07,187.61,False
BDL-BEML,1730.27,523.51,False
BDL-BHEL,3256.94,709.76,False
BDL-CDSL,1623.03,515.35,False
BDL-COCHINSHIP,1863.68,1069.93,False
BDL-DATAPATTNS,19952.21,339.53,False
BDL-GRSE,3068.49,166.71,False
BDL-HAL,257.73,216.79,False
BDL-INOXWIND,5441.94,627.5,False
BDL-IRCON,1562.75,257.74,False
BDL-IREDA,657.38,182.65,False
BDL-IRFC,510.98,142.04,False
BDL-JIOFIN,1711.41,1506.82,False
