pair,ols_net_pnl,ols_trades,ols_win_rate,adf_stat,adf_pval
PFC-RECLTD,-2700.0868750000027,18,0.4444,-2.749,0.065944
BDL-MAZDOCK,-9919.839700000002,21,0.381,-2.042,0.268448
GRSE-MAZDOCK,459.2924000000039,22,0.5,-3.052,0.030316
BANKBARODA-CANBK,-25.423899999987043,21,0.4762,-3.7371,0.00362
BPCL-HINDPETRO,-1588.8245000000225,18,0.3889,-3.3088,0.014488
CANBK-PNB,3023.7735949999806,16,0.5625,-4.7299,7.4e-05
IRFC-RVNL,-4396.138450000013,10,0.5,-2.8723,0.048661
BPCL-IOC,1583.2811749999837,26,0.3846,-3.9574,0.001651
INFY-TCS,-5186.03434999999,18,0.3889,-3.2336,0.018123
BANKINDIA-CANBK,3037.3980099999917,17,0.5882,-2.7767,0.061678
BEL-HAL,2979.3289750000113,25,0.6,-3.0082,0.034132
COCHINSHIP-GRSE,5724.960100000004,23,0.6522,-4.323,0.000405
BDL-HAL,-3928.0552000000107,19,0.6316,-3.8938,0.002081
BANKINDIA-UNIONBANK,290.391714999967,12,0.5833,-3.4429,0.009582
HAL-MAZDOCK,-7262.0812999999935,21,0.3333,-2.4608,0.125308
ADANIENT-ADANIGREEN,-1389.1619000000246,25,0.52,-2.8855,0.047061
IREDA-IRFC,-208.20549499999834,18,0.5,-4.8133,5.1e-05
HINDPETRO-IOC,3039.546600000007,13,0.6923,-2.5853,0.096067
BANKINDIA-PNB,3674.122370000001,12,0.6667,-2.8971,0.045692
BANKBARODA-PNB,5028.154159999995,20,0.65,-3.6783,0.004429
CANBK-UNIONBANK,2196.4909999999745,18,0.6111,-3.525,0.007368
BEL-MAZDOCK,4693.338299999998,18,0.5556,-2.5362,0.106902
ADANIENSOL-ADANIGREEN,5965.045200000017,25,0.56,-2.4539,0.127085
BANKBARODA-BANKINDIA,-3321.007174999998,16,0.5,-3.4221,0.010227
BDL-BEL,981.7808500000046,24,0.5,-2.3203,0.165519
COCHINSHIP-MAZDOCK,3565.4901500000215,24,0.5417,-2.5695,0.099473
DLF-GODREJPROP,2225.8957499999924,16,0.625,-2.9597,0.038837
BDL-GRSE,-8697.775199999998,17,0.3529,-2.3213,0.165195
PNB-UNIONBANK,538.8855000000149,18,0.5,-3.2634,0.016595
HINDZINC-VEDL,1832.2467999999953,18,0.5556,-2.9518,0.039644
NATIONALUM-VEDL,-717.0254499999864,13,0.6154,-2.6581,0.081573
BANKBARODA-UNIONBANK,-2469.880925000004,18,0.4444,-3.293,0.015192
IRCON-RVNL,-1356.8279699999894,13,0.4615,-3.8765,0.002214
BANKINDIA-INDIANB,-3270.7092950000233,15,0.5333,-2.9431,0.040557
ADANIENT-ADANIPORTS,-1103.7860500000006,27,0.5556,-3.1519,0.022941
DATAPATTNS-GRSE,4660.2845999999845,22,0.4545,-3.0349,0.03176
HCLTECH-TCS,388.2721499999807,24,0.5833,-2.9123,0.043937
BSE-CDSL,176.90884999999798,11,0.2727,-3.0439,0.030997
IREDA-RVNL,5280.972355000022,18,0.6111,-3.6341,0.005141
HINDZINC-NATIONALUM,604.7285249999804,23,0.6087,-2.4436,0.1298
GRAPHITE-HEG,808.6110499999868,21,0.619,-3.6431,0.004988
INDIANB-UNIONBANK,-2724.7911999999915,15,0.3333,-3.7516,0.003443
HINDALCO-NATIONALUM,-200.546499999984,22,0.5455,-3.0287,0.032303
IRCON-RAILTEL,-7498.053200000007,18,0.4444,-4.1978,0.000665
COFORGE-PERSISTENT,4420.08405000001,25,0.56,-2.9495,0.039892
HCLTECH-INFY,-2166.468850000002,28,0.4286,-4.4418,0.00025
IRCON-IRFC,-2261.4089550000244,21,0.5238,-4.3054,0.000435
CHENNPETRO-MRPL,1041.0838499999954,22,0.6364,-3.2885,0.0154
NBCC-RVNL,2515.9175749999704,18,0.3889,-3.2311,0.018254
JSWSTEEL-TATASTEEL,2046.6185499999792,27,0.5185,-4.4163,0.000278
TCS-WIPRO,-3474.916850000014,22,0.3636,-2.9967,0.035204
CANBK-INDIANB,1756.7036800000024,19,0.4737,-3.2911,0.015279
NMDC-TATASTEEL,1096.7606249999735,13,0.5385,-4.1011,0.000964
DLF-PRESTIGE,5279.71842500001,27,0.4444,-5.4096,3e-06
INFY-WIPRO,-5216.2490499999785,14,0.3571,-2.9511,0.039721
IREDA-NBCC,3270.622075000003,21,0.619,-3.0972,0.02676
ADANIENSOL-ADANIENT,6058.996449999982,29,0.5862,-3.0703,0.028832
IREDA-RECLTD,4850.663984999981,17,0.5294,-3.0719,0.028707
JINDALSTEL-TATASTEEL,6136.36410000001,19,0.5263,-3.9695,0.001579
CANBK-SBIN,3500.8757249999926,22,0.5909,-3.6176,0.005434
IRFC-NBCC,-445.9045599999954,20,0.5,-2.6233,0.088279
BANKBARODA-INDIANB,-3394.5818049999943,14,0.5,-2.8854,0.047069
HCLTECH-TECHM,-7137.45860000002,28,0.3214,-2.1282,0.233309
DLF-LODHA,2610.567475000007,14,0.4286,-3.2504,0.017249
INDIANB-PNB,7377.172400000021,18,0.5556,-3.0122,0.033766
GODREJPROP-PRESTIGE,-3372.397850000013,22,0.5,-3.1773,0.021336
BDL-COCHINSHIP,-4202.537400000014,19,0.4737,-2.4561,0.126527
BEL-GRSE,7477.045399999995,19,0.6316,-3.1811,0.021104
DATAPATTNS-MAZDOCK,-6372.3209000000115,29,0.4483,-2.9516,0.039664
TCS-TECHM,-4799.250800000014,20,0.4,-2.6677,0.079798
HINDALCO-VEDL,-1031.3997750000017,15,0.4,-3.5641,0.006485
IRCON-JWL,-4399.373669999981,25,0.48,-2.9419,0.040685
GODREJPROP-LODHA,1632.6992499999997,18,0.5556,-3.2973,0.014999
BANKBARODA-SBIN,1369.4178700000011,19,0.5263,-3.2186,0.018934
HINDALCO-TATASTEEL,-5055.713324999991,25,0.48,-3.4537,0.00926
INFY-TECHM,940.8416500000203,26,0.5385,-2.6012,0.092743
