pair,fsl_net_pnl,fsl_trades,wc_net_pnl,wc_trades,dr_net_pnl,dr_trades
PFC-RECLTD,6837.243575000033,160,2295.608900000052,52,1929.261500000037,64
BDL-MAZDOCK,-1261.9196499999744,143,234.3216499999835,41,1566.144849999997,41
GRSE-MAZDOCK,1052.827900000022,167,-11451.68174999995,53,-10699.11434999996,57
BANKBARODA-CANBK,-1650.6837999999098,106,522.8509350000804,46,-337.49888499991357,49
BPCL-HINDPETRO,-4500.212475000111,295,421.4781249999596,70,-279.1260749999583,103
CANBK-PNB,-5454.590050000027,118,-5154.090615000034,50,-4347.484530000011,57
IRFC-RVNL,-5629.262705000018,158,-1992.21879000001,65,-3509.731290000015,72
BPCL-IOC,1967.5289749999774,312,3295.087199999969,83,5159.524499999969,125
INFY-TCS,-10098.632050000047,207,-108.5495499999779,45,-1881.5406000000276,76
BANKINDIA-CANBK,-3990.946714999972,119,352.6092249999874,38,374.51213499998266,39
BEL-HAL,-4103.879500000007,153,-2052.5684999999685,48,-1927.4696249999806,55
COCHINSHIP-GRSE,2530.6170500000244,123,5819.203450000017,55,3618.1714500000253,60
BDL-HAL,-13534.019749999989,128,-6068.842499999976,44,-7583.047349999997,51
BANKINDIA-UNIONBANK,5320.207720000077,211,4379.191305000017,46,4882.35567500003,64
HAL-MAZDOCK,244.91544999998223,122,-12684.076649999986,49,-13066.12899999999,49
ADANIENT-ADANIGREEN,-7861.854250000022,286,3607.8420000000006,67,-1671.265999999965,122
IREDA-IRFC,7515.126169999992,218,6113.562414999984,64,5680.135974999983,67
HINDPETRO-IOC,937.0100500000044,288,2610.3844250000147,60,-396.3220749999964,75
BANKINDIA-PNB,-869.0645949999198,112,5800.101875000022,41,5590.992555000012,54
BANKBARODA-PNB,-3235.1099899999417,109,-738.2894450000313,53,-2425.6840249999914,57
CANBK-UNIONBANK,-1040.0330450000693,204,-3492.873324999997,54,-2746.0065199999917,55
BEL-MAZDOCK,-3856.9741499999573,143,2034.5214750000341,50,2999.164775000041,51
ADANIENSOL-ADANIGREEN,-9299.788524999918,291,-5426.684199999963,72,-6597.734674999969,77
BANKBARODA-BANKINDIA,-10454.175320000057,147,-6431.609264999986,58,-8131.928845000016,64
BDL-BEL,-8633.290149999923,111,3221.677850000009,36,4965.713599999994,40
COCHINSHIP-MAZDOCK,3001.048700000012,172,6308.587899999979,50,2678.435399999973,63
DLF-GODREJPROP,-5432.059899999949,250,-5707.684900000009,57,-4572.597225000005,74
BDL-GRSE,-2870.4537000000073,97,-1793.5165000000052,40,-238.4509500000222,46
PNB-UNIONBANK,-7711.417335000006,186,-4180.477519999986,52,-2489.8860549999854,51
HINDZINC-VEDL,-3590.161549999896,246,-12960.191200000041,47,-13435.402750000008,57
NATIONALUM-VEDL,-11231.799100000071,292,1311.4565749999983,41,3219.9806000000426,51
BANKBARODA-UNIONBANK,-3387.932655000005,197,-1393.8887950000262,50,-1776.371664999977,56
IRCON-RVNL,-10803.854039999998,151,-9598.116235000009,44,-13405.479115000015,62
BANKINDIA-INDIANB,-2757.801760000012,139,-1498.102345000032,61,-1338.79468000003,61
ADANIENT-ADANIPORTS,-7896.050349999985,185,-5790.125699999974,69,-6841.986149999999,79
DATAPATTNS-GRSE,-8032.991550000025,104,6626.797850000028,50,5247.113350000025,61
HCLTECH-TCS,-3440.687699999936,224,2426.4915000000074,51,2409.751700000008,62
BSE-CDSL,-15242.42764999995,202,-5685.532349999986,34,-11635.265749999971,40
IREDA-RVNL,-7947.554354999955,155,-7448.7785050000075,45,1219.514289999941,60
HINDZINC-NATIONALUM,-19669.208550000018,291,-15595.610299999993,42,-17932.114899999986,63
GRAPHITE-HEG,-20081.782375000017,267,8676.052824999962,60,8366.37607499996,60
INDIANB-UNIONBANK,-5772.4125249999925,201,1731.2372500000092,47,-4771.957599999972,53
HINDALCO-NATIONALUM,-17662.928650000067,438,-4848.196700000014,84,-4836.961150000031,110
