pair,num_chunks,chunk_half_lives,hl_max,hl_medoid,target_tau_worst_case,target_tau_dominant,Q_beta_worst_case,Q_beta_dominant
PFC-RECLTD,4,"[np.float64(120.35), np.float64(1419.07), np.float64(463.51), np.float64(220.04)]",1419.07,463.51,2838.14,927.02,4e-09,3.73e-08
BDL-MAZDOCK,4,"[np.float64(1888.76), np.float64(3179.69), np.float64(1065.58), np.float64(568.79)]",3179.69,1888.76,6359.39,3777.52,1.8e-09,5.1e-09
GRSE-MAZDOCK,4,"[np.float64(311.2), np.float64(772.96), np.float64(1229.94), np.float64(1167.84)]",1229.94,772.96,2459.87,1545.91,6.05e-08,1.533e-07
BANKBARODA-CANBK,4,"[np.float64(1000.71), np.float64(450.27), np.float64(566.8), np.float64(354.63)]",1000.71,566.8,2001.42,1133.61,7.4e-09,2.32e-08
BPCL-HINDPETRO,4,"[np.float64(128.16), np.float64(579.4), np.float64(341.95), np.float64(2017.15)]",2017.15,579.4,4034.3,1158.8,2.03e-08,2.458e-07
CANBK-PNB,4,"[np.float64(405.15), np.float64(699.15), np.float64(390.98), np.float64(159.74)]",699.15,405.15,1398.31,810.31,7.1e-09,2.11e-08
IRFC-RVNL,4,"[np.float64(383.73), np.float64(293.25), np.float64(677.27), np.float64(484.43)]",677.27,383.73,1354.53,767.47,1.3e-08,4.05e-08
BPCL-IOC,4,"[np.float64(980.11), np.float64(389.44), np.float64(396.47), np.float64(191.3)]",980.11,396.47,1960.22,792.95,1.468e-07,8.97e-07
INFY-TCS,4,"[np.float64(221.98), np.float64(387.52), np.float64(449.48), np.float64(1905.97)]",1905.97,387.52,3811.95,775.03,6.2e-09,1.5e-07
BANKINDIA-CANBK,4,"[np.float64(956.96), np.float64(1097.72), np.float64(931.63), np.float64(524.34)]",1097.72,956.96,2195.43,1913.92,2.6e-09,3.5e-09
BEL-HAL,4,"[np.float64(189.1), np.float64(669.98), np.float64(1081.67), np.float64(1656.05)]",1656.05,669.98,3312.1,1339.97,5.6e-09,3.42e-08
COCHINSHIP-GRSE,4,"[np.float64(704.47), np.float64(385.7), np.float64(427.36), np.float64(382.34)]",704.47,385.7,1408.95,771.41,9.1e-09,3.04e-08
BDL-HAL,4,"[np.float64(243.63), np.float64(744.41), np.float64(486.11), np.float64(1216.05)]",1216.05,744.41,2432.1,1488.82,1.36e-08,3.62e-08
BANKINDIA-UNIONBANK,4,"[np.float64(428.27), np.float64(494.65), np.float64(1746.58), np.float64(258.37)]",1746.58,428.27,3493.15,856.54,1.6e-09,2.66e-08
HAL-MAZDOCK,4,"[np.float64(1086.83), np.float64(1250.54), np.float64(1694.5), np.float64(1551.19)]",1694.5,1250.54,3389.01,2501.09,1.8e-09,3.2e-09
ADANIENT-ADANIGREEN,4,"[np.float64(214.11), np.float64(297.85), np.float64(2655.69), np.float64(1367.08)]",2655.69,297.85,5311.38,595.69,1.6e-08,1.2693e-06
IREDA-IRFC,4,"[np.float64(368.33), np.float64(189.97), np.float64(801.84), np.float64(585.83)]",801.84,585.83,1603.68,1171.67,9.5e-08,1.78e-07
HINDPETRO-IOC,4,"[np.float64(1833.01), np.float64(841.02), np.float64(578.98), np.float64(648.4)]",1833.01,841.02,3666.02,1682.03,3.16e-08,1.503e-07
BANKINDIA-PNB,4,"[np.float64(499.05), np.float64(1123.5), np.float64(359.16), np.float64(663.42)]",1123.5,499.05,2247.01,998.1,2.2e-09,1.09e-08
BANKBARODA-PNB,4,"[np.float64(267.06), np.float64(628.8), np.float64(318.34), np.float64(525.15)]",628.8,318.34,1257.6,636.68,5.9e-09,2.3e-08
CANBK-UNIONBANK,4,"[np.float64(1251.65), np.float64(1288.83), np.float64(413.36), np.float64(602.12)]",1288.83,1251.65,2577.66,2503.31,2.9e-09,3.1e-09
BEL-MAZDOCK,4,"[np.float64(2608.6), np.float64(920.14), np.float64(2089.41), np.float64(1165.19)]",2608.6,2089.41,5217.21,4178.82,7e-10,1.1e-09
ADANIENSOL-ADANIGREEN,4,"[np.float64(1121.61), np.float64(437.41), np.float64(867.13), np.float64(1312.34)]",1312.34,1121.61,2624.67,2243.22,2.07e-08,2.84e-08
BANKBARODA-BANKINDIA,4,"[np.float64(238.54), np.float64(1228.25), np.float64(515.05), np.float64(287.4)]",1228.25,515.05,2456.49,1030.09,3.3e-09,1.89e-08
