pair,ols_net_pnl,ols_trades,ols_win_rate,eod_exits,mean_exits
PFC-RECLTD,-1023.9041499999821,22,0.5,22,0
BDL-MAZDOCK,-7770.641700000004,17,0.3529,17,0
GRSE-MAZDOCK,-15254.789950000019,28,0.3929,27,1
BANKBARODA-CANBK,2714.7727200000045,16,0.5,16,0
BPCL-HINDPETRO,-2679.3797999999933,16,0.3125,16,0
CANBK-PNB,-5118.119389999972,18,0.2778,18,0
IRFC-RVNL,-4880.063344999993,12,0.25,11,1
BPCL-IOC,8213.15645000002,18,0.6667,18,0
INFY-TCS,-1602.6489500000025,17,0.4706,17,0
BANKINDIA-CANBK,2492.6051450000214,12,0.75,12,0
BEL-HAL,-1286.755649999981,22,0.5455,22,0
COCHINSHIP-GRSE,-3933.3243999999922,15,0.4667,15,0
BDL-HAL,-2537.7182500000126,16,0.4375,16,0
BANKINDIA-UNIONBANK,-4302.411510000011,16,0.4375,16,0
HAL-MAZDOCK,-5638.807799999984,15,0.3333,15,0
ADANIENT-ADANIGREEN,-4997.370449999991,19,0.5789,19,0
IREDA-IRFC,-1562.4782599999926,18,0.5556,18,0
HINDPETRO-IOC,-1356.86444999999,16,0.5625,16,0
BANKINDIA-PNB,-1538.4585649999844,12,0.6667,12,0
BANKBARODA-PNB,-5762.943464999995,20,0.4,20,0
CANBK-UNIONBANK,1768.4857400000037,27,0.5556,27,0
BEL-MAZDOCK,-3552.859300000002,18,0.3889,18,0
ADANIENSOL-ADANIGREEN,1828.6142499999842,24,0.5417,24,0
BANKBARODA-BANKINDIA,-5354.682919999985,19,0.3158,19,0
BDL-BEL,-691.0119500000019,16,0.5,16,0
COCHINSHIP-MAZDOCK,-9870.6962,24,0.4583,24,0
DLF-GODREJPROP,-2402.7446749999826,22,0.5,22,0
BDL-GRSE,-5334.886750000005,15,0.3333,15,0
PNB-UNIONBANK,3566.6730849999876,22,0.5909,22,0
HINDZINC-VEDL,588.2491000000173,19,0.4211,19,0
NATIONALUM-VEDL,634.3330750000168,16,0.5,16,0
BANKBARODA-UNIONBANK,-3080.3893700000026,12,0.6667,12,0
IRCON-RVNL,-5489.623294999998,20,0.5,20,0
BANKINDIA-INDIANB,-3380.754339999993,19,0.5789,19,0
ADANIENT-ADANIPORTS,-4811.737749999999,17,0.2941,17,0
DATAPATTNS-GRSE,5646.591949999996,20,0.6,20,0
HCLTECH-TCS,-410.11805000000277,17,0.4706,17,0
BSE-CDSL,4063.445850000022,26,0.5769,26,0
IREDA-RVNL,-495.97784499999943,17,0.5882,17,0
HINDZINC-NATIONALUM,-5940.97884999999,18,0.3333,18,0
GRAPHITE-HEG,-4345.093499999996,20,0.45,20,0
INDIANB-UNIONBANK,-3062.5137750000204,17,0.4706,16,1
HINDALCO-NATIONALUM,-5370.393175000017,28,0.4643,28,0
IRCON-RAILTEL,-11194.830209999991,23,0.3043,23,0
COFORGE-PERSISTENT,826.7997499999929,10,0.4,10,0
HCLTECH-INFY,-2366.235299999975,14,0.3571,14,0
IRCON-IRFC,-726.395855000017,16,0.5,16,0
CHENNPETRO-MRPL,-12226.84555000002,22,0.4545,22,0
NBCC-RVNL,-6210.041220000008,15,0.3333,15,0
JSWSTEEL-TATASTEEL,876.2656000000243,17,0.5294,17,0
TCS-WIPRO,-163.0077500000025,16,0.5,16,0
CANBK-INDIANB,-6133.928200000009,25,0.32,25,0
NMDC-TATASTEEL,-5028.064129999974,15,0.3333,15,0
DLF-PRESTIGE,-3890.705474999999,13,0.3846,13,0
INFY-WIPRO,-2849.671099999997,15,0.6,15,0
IREDA-NBCC,4553.836404999976,21,0.6667,21,0
ADANIENSOL-ADANIENT,-7699.138124999998,25,0.4,25,0
IREDA-RECLTD,-2308.3540350000158,15,0.4,15,0
JINDALSTEL-TATASTEEL,-6266.605799999992,24,0.2917,24,0
CANBK-SBIN,-7639.529825000025,18,0.2222,18,0
IRFC-NBCC,-3431.6833450000104,17,0.3529,17,0
BANKBARODA-INDIANB,-1894.7895799999842,20,0.45,20,0
HCLTECH-TECHM,1887.8624999999993,20,0.5,20,0
DLF-LODHA,1347.245924999983,16,0.5,16,0
INDIANB-PNB,-3354.9600999999902,13,0.5385,13,0
GODREJPROP-PRESTIGE,-3999.5806000000066,9,0.4444,9,0
BDL-COCHINSHIP,3959.844399999987,16,0.625,16,0
BEL-GRSE,-578.1524750000008,19,0.5789,19,0
DATAPATTNS-MAZDOCK,5248.17754999998,24,0.5833,24,0
TCS-TECHM,-1292.3240999999907,10,0.4,10,0
HINDALCO-VEDL,-943.9930250000089,18,0.3889,18,0
IRCON-JWL,-13521.696804999989,25,0.36,25,0
GODREJPROP-LODHA,1421.6437999999798,16,0.625,16,0
BANKBARODA-SBIN,-4749.870714999994,22,0.4091,22,0
HINDALCO-TATASTEEL,716.7504249999838,35,0.5429,35,0
INFY-TECHM,-587.1825499999977,14,0.5,14,0
COFORGE-MPHASIS,10057.067600000013,21,0.619,21,0
ABCAPITAL-LTF,1463.2573749999483,19,0.5263,19,0
GRSE-HAL,210.26394999998956,19,0.4737,19,0
NATIONALUM-NMDC,-2781.6773249999933,17,0.3529,17,0
DLF-OBEROIRLTY,6552.688899999997,14,0.6429,14,0
JBCHEPHARM-TORNTPHARM,-4215.379200000021,22,0.4091,22,0
GODREJPROP-OBEROIRLTY,-1409.0849999999991,13,0.4615,13,0
IRFC-RECLTD,-5043.812735000003,13,0.2308,13,0
RAILTEL-RVNL,-11014.151385,25,0.36,25,0
BSE-MCX,11714.531649999997,19,0.7368,19,0
HCLTECH-WIPRO,6681.4576999999845,19,0.6842,19,0
MAZDOCK-RVNL,-10391.878300000033,29,0.2759,29,0
INOXWIND-SUZLON,-1495.2360050000007,18,0.5,18,0
INOXWIND-IREDA,6383.803980000004,16,0.6875,16,0
HUDCO-IREDA,-5875.007909999991,23,0.4348,23,0
PNB-SBIN,-4800.040225000002,14,0.2857,14,0
COFORGE-INFY,920.7482499999733,13,0.5385,13,0
TECHM-WIPRO,-1182.923049999983,20,0.4,20,0
MPHASIS-PERSISTENT,4171.350200000021,12,0.5833,12,0
IRFC-RAILTEL,-50.739070000008724,11,0.4545,11,0
SAIL-TATASTEEL,-2891.4784000000127,25,0.52,25,0
COFORGE-TECHM,3003.0069500000354,19,0.5789,19,0
BAJAJFINSV-BAJFINANCE,785.5494499999986,16,0.375,16,0
CDSL-IREDA,-17718.393149999985,25,0.16,25,0
ANGELONE-BSE,5438.504175000015,24,0.5417,24,0
COFORGE-TCS,172.08169999999518,21,0.4762,21,0
BDL-DATAPATTNS,-256.0450999999812,17,0.5882,17,0
COCHINSHIP-DATAPATTNS,-3875.887150000005,17,0.4118,17,0
BANKINDIA-SBIN,-2156.012719999988,21,0.3333,21,0
ADANIGREEN-ADANIPORTS,-5250.1322249999985,11,0.2727,11,0
INOXWIND-NBCC,7522.8594600000215,25,0.64,25,0
HEROMOTOCO-TVSMOTOR,607.8587499999994,10,0.7,10,0
IREDA-PFC,-4431.104385000003,14,0.3571,14,0
JINDALSTEL-JSWSTEEL,-12535.935700000044,35,0.2857,35,0
LODHA-PRESTIGE,-6833.744875000006,11,0.0909,11,0
JINDALSTEL-NMDC,-277.5051500000027,17,0.4118,17,0
IREDA-JIOFIN,-4094.254664999985,22,0.5,22,0
HINDCOPPER-HINDZINC,-635.53639999999,11,0.4545,11,0
IRCON-RITES,1424.0501799999947,14,0.5,14,0
IRFC-MAZDOCK,-3241.5505799999873,16,0.375,16,0
IRCON-TITAGARH,-2435.7249449999936,18,0.6111,18,0
HINDALCO-HINDZINC,-1143.0781500000066,15,0.4667,15,0
COFORGE-WIPRO,1889.080800000018,24,0.625,24,0
IRCON-IREDA,-9873.858649999995,16,0.4375,16,0
IREDA-SUZLON,2458.928705000004,14,0.5714,14,0
ANGELONE-CDSL,-1746.6497500000005,17,0.4118,17,0
NATIONALUM-TATASTEEL,-1297.9058999999888,26,0.4615,26,0
CDSL-IRFC,-5628.432949999985,18,0.3333,18,0
EICHERMOT-HEROMOTOCO,-2195.778000000001,20,0.45,20,0
HUDCO-NBCC,-5990.607504999996,23,0.3913,23,0
OBEROIRLTY-PRESTIGE,-47.642699999993056,16,0.5,16,0
NTPC-POWERGRID,-2558.6875000000055,19,0.3684,19,0
COFORGE-HCLTECH,1405.7559000000037,15,0.4667,15,0
HUDCO-IRFC,-6563.3294100000185,28,0.3571,28,0
ADANIGREEN-ADANIPOWER,-2824.1840749999983,14,0.4286,14,0
BAJAJ-AUTO-HEROMOTOCO,4631.479750000002,18,0.6111,18,0
TATASTEEL-VEDL,2626.120234999995,14,0.5714,14,0
COFORGE-OFSS,-2504.9562000000005,11,0.3636,11,0
SBIN-UNIONBANK,-8619.216600000003,18,0.2778,18,0
MAZDOCK-NBCC,-9783.0439,30,0.4,30,0
COFORGE-LTM,8771.009350000026,22,0.6364,22,0
IREDA-MAZDOCK,-4210.021675000005,12,0.3333,12,0
INOXWIND-IRFC,10037.825935000012,10,0.8,10,0
JWL-TITAGARH,-11877.825675,11,0.1818,11,0
BEML-COCHINSHIP,6056.135850000002,12,0.6667,12,0
PERSISTENT-TECHM,-1385.7866500000055,18,0.3889,18,0
BEL-COCHINSHIP,-432.9681999999975,22,0.6364,22,0
RVNL-TITAGARH,-9957.847449999996,14,0.3571,14,0
