pair,wc_adf_stat,wc_pval,dr_adf_stat,dr_pval,ols_adf_stat,ols_pval
PFC-RECLTD,-11.3889,0.0,-13.6753,0.0,-1.666,0.44873
BDL-MAZDOCK,-8.1857,0.0,-8.458,0.0,-2.0316,0.272886
GRSE-MAZDOCK,-10.1281,0.0,-10.6088,0.0,-1.3651,0.598886
BANKBARODA-CANBK,-10.3891,0.0,-11.0028,0.0,-1.4125,0.576255
BPCL-HINDPETRO,-13.4065,0.0,-18.1263,0.0,-1.4903,0.538307
CANBK-PNB,-10.9668,0.0,-11.6528,0.0,-1.5185,0.524343
IRFC-RVNL,-14.6313,0.0,-16.0402,0.0,-2.3546,0.154955
BPCL-IOC,-17.1437,0.0,-20.4217,0.0,-2.2408,0.191775
INFY-TCS,-11.3697,0.0,-13.889,0.0,-1.3044,0.627173
BANKINDIA-CANBK,-8.8947,0.0,-8.9681,0.0,-1.5444,0.511432
BEL-HAL,-10.4592,0.0,-11.5883,0.0,-1.3473,0.607247
COCHINSHIP-GRSE,-11.1737,0.0,-12.1517,0.0,-2.0714,0.256166
BDL-HAL,-10.4204,0.0,-10.929,0.0,-1.2629,0.645964
BANKINDIA-UNIONBANK,-10.9681,0.0,-14.0473,0.0,-1.1053,0.712943
HAL-MAZDOCK,-9.7544,0.0,-9.9743,0.0,-1.1292,0.703281
ADANIENT-ADANIGREEN,-13.1181,0.0,-21.9712,0.0,-1.9832,0.294003
IREDA-IRFC,-14.0497,0.0,-14.9108,0.0,-1.6584,0.452664
HINDPETRO-IOC,-13.0243,0.0,-14.8727,0.0,-1.8016,0.379674
BANKINDIA-PNB,-10.2712,0.0,-11.1686,0.0,-1.4548,0.555718
BANKBARODA-PNB,-11.1511,0.0,-12.6041,0.0,-0.7452,0.834691
CANBK-UNIONBANK,-10.4713,0.0,-10.5062,0.0,-0.4699,0.897752
BEL-MAZDOCK,-10.007,0.0,-10.1151,0.0,-1.6346,0.465104
ADANIENSOL-ADANIGREEN,-13.7655,0.0,-14.278,0.0,1.3284,0.996763
BANKBARODA-BANKINDIA,-11.7919,0.0,-12.824,0.0,-0.903,0.786973
BDL-BEL,-8.698,0.0,-9.1483,0.0,-1.952,0.308001
COCHINSHIP-MAZDOCK,-10.3758,0.0,-12.4249,0.0,-1.3412,0.610103
DLF-GODREJPROP,-12.6351,0.0,-15.8972,0.0,-1.3465,0.607651
BDL-GRSE,-8.3255,0.0,-9.1652,0.0,-1.7532,0.403955
PNB-UNIONBANK,-10.271,0.0,-10.43,0.0,-0.3079,0.924374
HINDZINC-VEDL,-13.0794,0.0,-15.4589,0.0,-1.3071,0.625899
NATIONALUM-VEDL,-11.4236,0.0,-13.2967,0.0,-0.5765,0.876215
BANKBARODA-UNIONBANK,-11.9089,0.0,-12.8961,0.0,-1.3431,0.609231
IRCON-RVNL,-11.612,0.0,-15.7337,0.0,-1.6323,0.46629
BANKINDIA-INDIANB,-11.6718,0.0,-11.7338,0.0,-1.1185,0.707631
ADANIENT-ADANIPORTS,-13.4481,0.0,-15.1843,0.0,-0.8886,0.791696
DATAPATTNS-GRSE,-9.9447,0.0,-10.9047,0.0,-1.4676,0.549486
HCLTECH-TCS,-14.1094,0.0,-16.0199,0.0,-1.1261,0.70455
BSE-CDSL,-8.9294,0.0,-10.2212,0.0,0.4721,0.984001
IREDA-RVNL,-11.6898,0.0,-13.2203,0.0,-1.8891,0.337207
HINDZINC-NATIONALUM,-11.1174,0.0,-14.6933,0.0,-1.6784,0.442273
GRAPHITE-HEG,-14.5833,0.0,-14.7534,0.0,0.0677,0.963786
INDIANB-UNIONBANK,-10.0814,0.0,-10.7731,0.0,-1.658,0.452889
HINDALCO-NATIONALUM,-17.4234,0.0,-20.6387,0.0,-0.7746,0.826468
IRCON-RAILTEL,-12.3188,0.0,-19.0095,0.0,-0.6221,0.865919
COFORGE-PERSISTENT,-10.7271,0.0,-15.1717,0.0,-1.8506,0.355627
HCLTECH-INFY,-16.6309,0.0,-18.3896,0.0,-2.1524,0.22396
IRCON-IRFC,-17.7583,0.0,-19.2407,0.0,-1.4812,0.542812
CHENNPETRO-MRPL,-11.8708,0.0,-13.9347,0.0,-1.8182,0.371443
NBCC-RVNL,-8.1095,0.0,-8.8456,0.0,-1.0724,0.72597
JSWSTEEL-TATASTEEL,-15.7474,0.0,-16.4343,0.0,-1.6043,0.481431
TCS-WIPRO,-9.8418,0.0,-14.8867,0.0,-1.3801,0.591764
CANBK-INDIANB,-9.1183,0.0,-9.2695,0.0,-1.1648,0.688557
NMDC-TATASTEEL,-14.7312,0.0,-15.5481,0.0,-1.4268,0.569352
DLF-PRESTIGE,-17.2092,0.0,-22.4066,0.0,-1.3882,0.587914
INFY-WIPRO,-15.6913,0.0,-19.9518,0.0,-1.547,0.510129
IREDA-NBCC,-10.2517,0.0,-10.4396,0.0,-1.3503,0.605862
ADANIENSOL-ADANIENT,-11.5297,0.0,-12.9425,0.0,0.4304,0.982598
IREDA-RECLTD,-9.8299,0.0,-10.6367,0.0,-1.88,0.341517
JINDALSTEL-TATASTEEL,-15.1754,0.0,-15.7249,0.0,-1.5272,0.520022
CANBK-SBIN,-10.4534,0.0,-10.767,0.0,-1.2844,0.636277
IRFC-NBCC,-9.4938,0.0,-10.0756,0.0,-1.4598,0.553297
BANKBARODA-INDIANB,-9.3445,0.0,-11.6433,0.0,-1.2771,0.639571
HCLTECH-TECHM,-12.4453,0.0,-15.199,0.0,-1.6227,0.471332
DLF-LODHA,-14.0127,0.0,-14.5854,0.0,-2.055,0.26297
INDIANB-PNB,-9.0638,0.0,-9.927,0.0,-1.4617,0.552372
GODREJPROP-PRESTIGE,-12.0305,0.0,-15.2017,0.0,-1.2969,0.630602
BDL-COCHINSHIP,-10.4415,0.0,-10.4504,0.0,-1.3325,0.614169
BEL-GRSE,-10.6242,0.0,-10.8643,0.0,-1.4832,0.541812
DATAPATTNS-MAZDOCK,-9.2621,0.0,-11.7333,0.0,-1.2736,0.641165
TCS-TECHM,-9.913,0.0,-11.9493,0.0,-1.3952,0.584557
HINDALCO-VEDL,-15.8326,0.0,-19.4609,0.0,-0.5965,0.871778
IRCON-JWL,-10.7551,0.0,-12.3957,0.0,-1.1538,0.69315
GODREJPROP-LODHA,-13.3697,0.0,-16.9092,0.0,-0.9071,0.78563
BANKBARODA-SBIN,-10.1891,0.0,-11.8437,0.0,-0.662,0.85635
HINDALCO-TATASTEEL,-13.6436,0.0,-19.6155,0.0,-0.4171,0.9072
INFY-TECHM,-11.9132,0.0,-12.5184,0.0,-1.3072,0.625858
COFORGE-MPHASIS,-10.5166,0.0,-14.2692,0.0,-0.0993,0.94951
ABCAPITAL-LTF,-13.6404,0.0,-15.3453,0.0,-1.9632,0.30293
