Pair,Half_Life,1D_Pearson,1D_ADF,Net_PnL
SCHNEIDER-VTL,285.2,0.9471054818685871,0.06650280276871774,18290.93
CPPLUS-CUMMINSIND,590.58,0.9105522567376705,0.16201556103111459,14550.69
CPPLUS-STARHEALTH,525.0,0.8978459808674824,0.015527441140265092,14301.25
BERGEPAINT-FIVESTAR,467.21,0.9208583323763824,0.10373137722459391,14183.31
CANFINHOME-TITAGARH,535.31,0.7672556718385136,0.14276459702759264,13435.91
ATUL-HFCL,424.35,0.8199695901896245,0.07855554068938292,13331.93
BEML-MOTILALOFS,551.86,0.8392879166294999,0.05218640420331132,13238.5
PAYTM-RPOWER,449.07,0.9475376701772765,0.0001677314835797093,12615.2
ATUL-CPPLUS,378.04,0.8081461420879831,0.09655745835290247,12128.13
ATUL-MOTHERSON,316.74,0.6995064314235554,0.15098296105195919,11885.81
ADANIPORTS-NAM-INDIA,572.45,0.9003324510786185,0.03267927990763698,11862.81
GRSE-STARHEALTH,526.39,0.7849593957272356,0.017142634672987846,11509.55
INDIAMART-TEGA,498.72,0.7011024040315754,0.06712422309215053,11296.57
CANFINHOME-SOBHA,424.76,0.7895673953704188,0.02731855434625174,11262.72
BAJAJ-AUTO-CRAFTSMAN,410.38,0.9129113823745393,0.00012279540388602047,11241.31
ATUL-TATASTEEL,336.28,0.8663565088408146,0.1591492510101028,11181.16
BEML-VIJAYA,394.99,0.7204409530517308,0.10425946557127519,11144.87
EIHOTEL-SIGNATURE,482.81,0.8770245322160948,0.008985902478624625,11059.77
GRAPHITE-JSWSTEEL,522.32,0.8878454257731836,0.008398853556955339,10949.3
CANFINHOME-INDIAMART,371.59,0.7564324653164398,0.0045732367123499955,10890.78
ATUL-SCHNEIDER,328.24,0.8642645812485269,0.017876553716315528,10880.55
ATUL-NYKAA,247.04,0.6545910954950046,0.1642469703935981,10862.32
COROMANDEL-INDIGO,385.05,0.8664244933317471,0.04877784046091524,10835.9
ATUL-SYRMA,320.86,0.8830085968228789,0.002222189805179491,10707.97
CPPLUS-WELCORP,608.92,0.9649591007271906,0.04293092208100018,10545.91
