pair,lagger_asset,ols_gross_pnl,ols_net_pnl,ols_trades,gross_win_rate,net_win_rate,mean_rev_exits,eod_exits,avg_price_captured,avg_fee_drag,spread_vol,mean_abs_dev,zero_crossings,half_life,kalman_q,adf_stat,adf_pval
CPPLUS-SONACOMS,CPPLUS,24412.7,23467.46,18,0.9444,0.9444,3,15,56.1889,52.5132,0.044575,0.043018,263,689.54,3.99e-06,-4.1273,0.000873
CPPLUS-LTFOODS,CPPLUS,23813.6,22765.6,20,0.85,0.85,5,15,46.735,52.4002,0.046877,0.043065,251,697.14,4.37e-06,-4.0183,0.001318
CPPLUS-KEI,CPPLUS,20560.8,19729.5,16,0.75,0.6875,3,13,53.1562,51.9562,0.045542,0.041214,237,775.13,3.71e-06,-3.9864,0.001483
SCHNEIDER-VTL,VTL,19360.5,18290.93,20,0.85,0.85,6,14,9.58,53.4786,0.050176,0.039904,749,285.2,1.221e-05,-5.5797,1e-06
CPPLUS-NHPC,CPPLUS,18335.4,17390.25,18,0.7222,0.7222,2,16,40.45,52.5083,0.051969,0.048701,281,960.6,3.89e-06,-3.4875,0.008315
CPPLUS-JPPOWER,CPPLUS,18137.4,17247.06,17,0.7059,0.7059,1,16,46.3882,52.3731,0.04351,0.044809,297,732.69,3.58e-06,-4.0607,0.001124
CPPLUS-MCX,CPPLUS,17980.2,17166.28,15,0.8,0.8,1,14,47.7267,52.1901,0.050953,0.047998,289,988.38,3.64e-06,-3.458,0.009132
CPPLUS-HINDALCO,CPPLUS,17876.8,17087.63,15,0.8667,0.8,2,13,51.1267,52.6112,0.046516,0.046945,341,790.91,3.79e-06,-3.9057,0.001994
CPPLUS-TATACAP,CPPLUS,17907.5,16971.1,18,0.8333,0.7778,1,17,42.3111,52.0225,0.057804,0.055107,173,1155.17,4.01e-06,-3.1746,0.0215
SAGILITY-VEDL,SAGILITY,17786.68,16930.25,16,0.75,0.75,2,14,0.8925,53.5267,0.047177,0.04172,238,1118.33,2.76e-06,-3.3732,0.011908
CPPLUS-MMTC,CPPLUS,17717.9,16879.83,16,0.875,0.8125,2,14,46.9625,52.3797,0.051897,0.051459,125,1072.81,3.48e-06,-3.3998,0.010965
HSCL-NEWGEN,NEWGEN,17809.05,16791.06,19,0.5789,0.5263,1,18,9.4789,53.5785,0.041941,0.034823,338,632.9,3.85e-06,-4.3542,0.000357
CEATLTD-GALLANTT,GALLANTT,17048.15,16453.39,11,0.7273,0.7273,2,9,18.7955,54.0694,0.03908,0.030651,341,893.62,2.37e-06,-3.5602,0.006569
ADANIPOWER-BALKRISIND,BALKRISIND,17143.2,16407.37,14,0.7857,0.7857,3,11,61.7714,52.5594,0.06576,0.050224,278,1886.14,3.18e-06,-2.4217,0.135713
GESHIP-SPLPETRO,SPLPETRO,16825.15,16133.74,13,0.8462,0.8462,0,13,17.4923,53.1852,0.035433,0.032275,337,670.01,2.59e-06,-4.1282,0.00087
GMRAIRPORT-PGEL,PGEL,16817.55,16124.34,13,0.7692,0.7692,3,10,14.2115,53.3242,0.026529,0.021166,354,722.47,1.35e-06,-3.9949,0.001438
ABFRL-HSCL,ABFRL,17160.08,16034.28,21,0.7619,0.7619,8,13,0.9952,53.6096,0.042246,0.037635,243,532.75,4.64e-06,-4.6465,0.000106
CPPLUS-HUDCO,CPPLUS,16765.9,15977.87,15,0.7333,0.7333,1,14,44.74,52.5352,0.050604,0.045585,227,1011.33,3.51e-06,-3.4812,0.008483
CPPLUS-PHOENIXLTD,CPPLUS,16730.7,15945.3,15,0.7333,0.7333,0,15,44.6933,52.3601,0.054487,0.052718,169,1051.99,3.91e-06,-3.298,0.014966
CPPLUS-JSWINFRA,CPPLUS,16555.9,15769.21,15,0.8,0.8,1,14,43.38,52.4462,0.051281,0.05236,259,880.06,4.14e-06,-3.7028,0.004074
CPPLUS-IRB,CPPLUS,16611.6,15723.48,17,0.7647,0.7647,1,16,38.0765,52.2424,0.058297,0.057744,205,1145.37,4.11e-06,-3.1638,0.022179
AFCONS-RAILTEL,AFCONS,16424.15,15676.27,14,0.7143,0.7143,3,11,7.4536,53.42,0.035231,0.028833,312,650.72,2.64e-06,-4.0297,0.001263
CPPLUS-NYKAA,CPPLUS,16770.4,15666.66,21,0.619,0.619,3,18,32.4048,52.5592,0.048536,0.044459,261,781.95,4.17e-06,-3.7642,0.003296
GRAPHITE-WAAREEENER,GRAPHITE,16408.15,15666.21,14,0.7143,0.7143,2,12,16.8857,52.9954,0.061258,0.052289,186,1482.88,3.51e-06,-2.8518,0.051252
CPPLUS-JBMA,CPPLUS,16459.7,15517.23,18,0.6667,0.6667,1,17,36.0611,52.3592,0.050067,0.048262,197,849.17,4.09e-06,-3.6137,0.005505
LICI-PINELABS,PINELABS,16307.42,15511.78,15,0.5333,0.5333,6,9,4.0527,53.043,0.023166,0.020254,411,755.57,9.8e-07,-3.7562,0.003389
DATAPATTNS-SPLPETRO,DATAPATTNS,16382.1,15502.76,17,0.7647,0.7647,2,15,69.2353,51.7262,0.064615,0.053641,257,1105.78,5.23e-06,-3.2334,0.01813
