symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,Q_beta,Q_alpha,R,log_likelihood_final,em_iterations,em_converged,beta_mean,alpha_mean,spread_mean,spread_std,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ar1_phi,ar1_c,hurst_exponent,adf_pvalue,tradeable,skipped
PFC,RECLTD,0.6613012626349547,1,27527,1e-12,3.0230550738393723e-05,0.009180840400580845,38457.80215114404,15,False,0.9724185855097056,0.266157309170965,-1.1722555443753047e-06,0.0012630049646441585,0.207224806239789,3.56291766090953e-07,0.0008126690265400708,3.344904469389992,0.05574840782316653,0.812836898639774,6.668467193069495e-08,0.08548348428081139,0.8766421542216445,False,False
BDL,MAZDOCK,0.6481262601604594,2,27527,1e-12,2.4660370007154254e-05,0.02276763832815617,26297.139299692637,15,False,0.9769098953853939,-0.39235380528984554,-2.087353651048667e-06,0.0022720041654484967,0.11151120930345809,-1.385296843580944e-06,0.001073028073400613,6.2159417415487574,0.10359902902581263,0.8944813648340165,-1.461746322344061e-07,0.19142210237742072,0.7462999564833916,False,False
GRSE,MAZDOCK,0.6223135583329398,3,27527,1e-12,6.149732815094309e-05,0.056737167560093414,13729.631018376625,15,False,1.6658447660298166,-5.171251864774263,-3.7312251934703605e-06,0.003412120894725852,0.11330518572255224,-5.7846983719535626e-06,0.0016239217186298546,6.117523890364899,0.10195873150608166,0.8928781248755074,-6.19667736633265e-07,0.1893209278025996,0.1760379806120303,False,False
BANKBARODA,CANBK,0.600743730963829,4,27527,1e-12,5.10652427838107e-05,0.00826196292905227,39610.87815387455,15,False,0.31176308148276255,4.120583428491335,-1.3813691142784087e-06,0.0013073263444663334,0.2130904284301446,-9.848971627339974e-07,0.0008532435011798484,3.2528311368390397,0.05421385228065066,0.8080830602298565,-1.8901844946020575e-07,0.06073876202205671,0.5259124278710372,False,False
BPCL,HINDPETRO,0.5993120769439445,5,27527,1e-12,9.26726485941742e-05,0.03158484801180151,21497.63670685306,15,False,0.23259014471314673,4.4439549975943065,3.1332500484001576e-06,0.0018938090990463516,0.13726207679585734,3.2277692223009912e-06,0.0009923077303463145,5.049808342844955,0.08416347238074924,0.8717417329118551,4.1398808701277433e-07,0.11295427955641907,0.8917106684131366,False,False
BPCL,IOC,0.5970018243000894,6,27527,1e-12,9.06443538838227e-05,0.01572860836094019,30791.238177311363,15,False,0.6551556415259825,2.519847986496275,2.3078113878602234e-06,0.0012963554750229668,0.22306467652709,1.869752179328716e-06,0.0008655099769239537,3.1073820891393638,0.051789701485656064,0.8000631023182541,3.7383245016866697e-07,0.06260473083993538,0.8189148216462478,False,False
INFY,TCS,0.5963448240610343,7,27527,1e-12,0.00042605970508908115,0.43889175417056414,-14397.266239222843,15,False,1.0339351599421132,-0.9392184145388255,-3.2786516210196213e-07,0.0017826751359582282,0.09148073528448475,-2.3271037909169336e-06,0.0007623201666646762,7.576974303982272,0.12628290506637121,0.9125788965554973,-2.0343798123184365e-07,0.21767980630098668,0.12503895537086052,False,False
IRFC,RVNL,0.59629915020758,8,27527,2.0968171469579035e-07,2.202138771189629e-06,1.5862756557478935e-05,116263.14511478739,15,False,0.6587428379222332,0.9189982209321002,,,,,,,,,,,0.6949328437888216,False,False
BEL,HAL,0.5919494727331697,9,27527,1e-12,6.219834788398517e-05,0.07608001301309521,9756.439422143165,15,False,1.031385033108676,-2.53490888200394,-2.155971136541034e-06,0.0025048021369211216,0.07306571431767468,1.3343230943705257e-06,0.0009564005841164791,9.486627032020573,0.15811045053367623,0.9295397439486747,9.401674688454397e-08,0.23997181754749555,0.6365839708621119,False,False
CANBK,PNB,0.5912896020465772,10,27527,1e-12,0.00019663837638266485,0.027160910150693954,23146.382180706438,15,False,0.8813431503981909,0.7655730821226571,4.444604263847532e-06,0.0011354916676633074,0.2535208074968708,2.5922673354531727e-06,0.0008043779010709079,2.7340839886229094,0.04556806647704849,0.7760635968162742,5.805030231920441e-07,0.05026836635161986,0.04242464081585359,False,False
COCHINSHIP,GRSE,0.5888668206027302,11,27527,1e-12,1.0197834264280919e-05,0.009603129541247896,38176.854800145826,15,False,0.600613546033899,2.627789952696217,-1.1737743881915005e-06,0.002082953708628856,0.13295645245104776,6.551753261445872e-07,0.0010742640018184908,5.2133399153015905,0.08688899858835984,0.875503217297849,8.15672202108336e-08,0.16460891133492386,0.6965647613299829,False,False
BANKINDIA,CANBK,0.5871819129252358,12,27527,1e-12,1.451509545872384e-05,0.0023737672503675736,56753.232314399385,15,False,0.38380150816475433,3.13030174079706,-1.3329274783016813e-06,0.0015733738154778308,0.18056162994097355,-4.2278308791167057e-07,0.0009449775694230404,3.83883985089489,0.0639806641815815,0.8348012303609674,-6.984324594719892e-08,0.07344234325424134,0.42084549853891545,False,False
BDL,HAL,0.5812755295762134,13,27527,1e-12,0.00011872887942794048,0.1450770607774736,871.9121564046307,15,False,1.671186978705844,-6.713520317038105,5.278323953337656e-07,0.0036799338096628943,0.07179004003702176,-1.5628231979738262e-06,0.0013943279048859794,9.655199804910163,0.1609199967485027,0.9307262905554592,-1.0826256012962692e-07,0.24305736824238078,0.24528048776196787,False,False
