symbol_a,symbol_b,best_z_entry,best_z_sl,best_hl_stop,gross_profit,trade_count,win_rate,lagger
DLF,PRESTIGE,2.0,0.0,False,0.0,0,0.0,b
BEML,COCHINSHIP,2.0,0.0,False,0.0,0,0.0,b
JBMA,OLECTRA,2.0,0.0,False,0.0,0,0.0,b
BAJAJ-AUTO,TVSMOTOR,2.0,0.0,False,0.0,0,0.0,a
KEI,POLYCAB,2.0,0.0,False,0.0,0,0.0,a
IREDA,TITAGARH,2.0,0.0,False,0.0,0,0.0,a
DIXON,KALYANKJIL,2.0,0.0,False,0.0,0,0.0,b
BEL,SOLARINDS,2.0,0.0,False,0.0,0,0.0,a
ABCAPITAL,CDSL,2.0,0.0,False,0.0,0,0.0,b
BAJAJ-AUTO,TMPV,2.0,0.0,False,0.0,0,0.0,b
JWL,MAZDOCK,2.0,0.0,False,0.0,0,0.0,a
