symbol_a,symbol_b,pearson_rho,t_stat,p_value,n_obs,rank
PFC,RECLTD,0.6613012626349547,174.58667205975965,0.0,39220,1
BDL,MAZDOCK,0.6481262601604594,168.54414534660228,0.0,39220,2
GRSE,MAZDOCK,0.6223135583329398,157.44138006214192,0.0,39220,3
BANKBARODA,CANBK,0.600743730963829,148.81448017983848,0.0,39220,4
BPCL,HINDPETRO,0.5993120769439445,148.2606895730003,0.0,39220,5
BPCL,IOC,0.5970018243000894,147.3717135002631,0.0,39220,6
INFY,TCS,0.5963448240610343,147.11994646785493,0.0,39220,7
IRFC,RVNL,0.59629915020758,147.10246101076987,0.0,39220,8
BEL,HAL,0.5919494727331697,145.44732815820365,0.0,39220,9
CANBK,PNB,0.5912896020465772,145.19795749283952,0.0,39220,10
COCHINSHIP,GRSE,0.5888668206027302,144.28619962415033,0.0,39220,11
BANKINDIA,CANBK,0.5871819129252358,143.6556392859238,0.0,39220,12
BDL,HAL,0.5812755295762134,141.46754452894507,0.0,39220,13
BANKINDIA,UNIONBANK,0.5785955089782444,140.48590973357787,0.0,39220,14
HAL,MAZDOCK,0.5763677642469147,139.67514526078816,0.0,39220,15
HINDPETRO,IOC,0.5760675120342044,139.56622958936464,0.0,39220,16
ADANIENT,ADANIGREEN,0.5750074400452473,139.18236658133435,0.0,39220,17
IREDA,IRFC,0.5729160670388255,138.42812356453112,0.0,39220,18
BANKBARODA,PNB,0.5692820524600195,137.12707899434773,0.0,39220,19
BANKINDIA,PNB,0.56893308926589,137.00277359141313,0.0,39220,20
BEL,MAZDOCK,0.5688595618037797,136.97659608088023,0.0,39220,21
CANBK,UNIONBANK,0.5659548629723078,135.94631805411515,0.0,39220,22
ADANIENSOL,ADANIGREEN,0.5639436106949239,135.23731180291358,0.0,39220,23
COCHINSHIP,MAZDOCK,0.5620628166964209,134.57748840229485,0.0,39220,24
BDL,BEL,0.5607663087083288,134.12442424206375,0.0,39220,25
BANKBARODA,BANKINDIA,0.5583763155555549,133.2930058984235,0.0,39220,26
BDL,GRSE,0.5521512399588028,131.149931090608,0.0,39220,27
HINDZINC,VEDL,0.5498326743172866,130.3598567629797,0.0,39220,28
DLF,GODREJPROP,0.5496385403433995,130.29390043763942,0.0,39220,29
NATIONALUM,VEDL,0.5405240156365909,127.23074514485224,0.0,39220,30
PNB,UNIONBANK,0.5388344203166681,126.66996859853334,0.0,39220,31
IRCON,RVNL,0.538437730038286,126.53862013421266,0.0,39220,32
GRAPHITE,HEG,0.5346864588112443,125.30235413166025,0.0,39220,33
BANKBARODA,UNIONBANK,0.5329333603719645,124.72817440136991,0.0,39220,34
ADANIENT,ADANIPORTS,0.5304318931027404,123.912765648246,0.0,39220,35
HINDZINC,NATIONALUM,0.5296621477584993,123.66275923664764,0.0,39220,36
BANKINDIA,INDIANB,0.5289658710719399,123.43698063757007,0.0,39220,37
HCLTECH,TCS,0.5257685934461046,122.40463679095922,0.0,39220,38
IRCON,RAILTEL,0.5250220898277165,122.16464126747645,0.0,39220,39
HINDALCO,NATIONALUM,0.5206130824877278,120.7550628009227,0.0,39220,40
DATAPATTNS,GRSE,0.5205539292447271,120.73624207325246,0.0,39220,41
IREDA,RVNL,0.5201343852105098,120.60282456181932,0.0,39220,42
JSWSTEEL,TATASTEEL,0.5192555579901201,120.32373985094374,0.0,39220,43
IRCON,IRFC,0.5192069147185588,120.3083077409029,0.0,39220,44
INDIANB,UNIONBANK,0.5182389585985556,120.00155530935858,0.0,39220,45
BSE,CDSL,0.5170386436157088,119.62204194889054,0.0,39220,46
HCLTECH,INFY,0.5147451028025671,118.89954770460564,0.0,39220,47
NBCC,RVNL,0.51143815131968,117.86391898943057,0.0,39220,48
COFORGE,PERSISTENT,0.5107200689117879,117.63998066712693,0.0,39220,49
CHENNPETRO,MRPL,0.5105018132920021,117.5719824003055,0.0,39220,50
TCS,WIPRO,0.5093176230410128,117.20357878853507,0.0,39220,51
DLF,PRESTIGE,0.5057851997209861,116.10995382068022,0.0,39220,52
NMDC,TATASTEEL,0.5052796974587704,115.95409765084165,0.0,39220,53
CANBK,INDIANB,0.5036951498492792,115.46658752160951,0.0,39220,54
INFY,WIPRO,0.5017377637905855,114.86652256327235,0.0,39220,55
IREDA,NBCC,0.49945548300389325,114.16983245473924,0.0,39220,56
ADANIENSOL,ADANIENT,0.494596789181081,112.69716548581704,0.0,39220,57
IREDA,RECLTD,0.49195813900537966,111.90327655855293,0.0,39220,58
IRFC,NBCC,0.4918517329534817,111.87134795955198,0.0,39220,59
BANKBARODA,INDIANB,0.49085309577642405,111.57201486719244,0.0,39220,60
JINDALSTEL,TATASTEEL,0.4899341491815708,111.29708027062743,0.0,39220,61
BEL,GRSE,0.4897875038779575,111.25325149678439,0.0,39220,62
CANBK,SBIN,0.48898867015770064,111.01471710783063,0.0,39220,63
HCLTECH,TECHM,0.4889432467740169,111.00116458009602,0.0,39220,64
BDL,COCHINSHIP,0.48881144385847675,110.96184655798108,0.0,39220,65
INDIANB,PNB,0.4885112244404392,110.8723256037354,0.0,39220,66
GODREJPROP,PRESTIGE,0.4872327692702434,110.49168739347729,0.0,39220,67
HINDALCO,VEDL,0.486793396431593,110.36108704252912,0.0,39220,68
IRCON,JWL,0.4842259742459245,109.6001264545036,0.0,39220,69
DLF,LODHA,0.48398626061221317,109.52926705515011,0.0,39220,70
TCS,TECHM,0.48229828799305907,109.0312113852357,0.0,39220,71
DATAPATTNS,MAZDOCK,0.481835436142987,108.89491870880042,0.0,39220,72
JBCHEPHARM,TORNTPHARM,0.4790127455092663,108.06630009609792,0.0,39220,73
BANKBARODA,SBIN,0.47828191340342674,107.85247133294453,0.0,39220,74
HINDALCO,TATASTEEL,0.47799992174091716,107.7700432167448,0.0,39220,75
INFY,TECHM,0.4764960470803809,107.33117808898511,0.0,39220,76
GODREJPROP,LODHA,0.47640813966396867,107.30556248751803,0.0,39220,77
COFORGE,MPHASIS,0.47411796368347536,106.63968272690002,0.0,39220,78
GRSE,HAL,0.4714150431742225,105.85738529958164,0.0,39220,79
ABCAPITAL,LTF,0.4705120209065774,105.59688390977728,0.0,39220,80
RAILTEL,RVNL,0.4699994052765276,105.4491956839367,0.0,39220,81
NATIONALUM,NMDC,0.46914362241788216,105.20294350561079,0.0,39220,82
DLF,OBEROIRLTY,0.46486318634231033,103.97691533893646,0.0,39220,83
GODREJPROP,OBEROIRLTY,0.4640758114186854,103.75240952651991,0.0,39220,84
BSE,MCX,0.463030605662351,103.4548718683102,0.0,39220,85
HCLTECH,WIPRO,0.4627431248243272,103.37313144798648,0.0,39220,86
INOXWIND,SUZLON,0.46257516712534114,103.32539466444317,0.0,39220,87
IRFC,RECLTD,0.4615128760475941,103.02379860894321,0.0,39220,88
IRFC,RAILTEL,0.4613122591566238,102.9669045859637,0.0,39220,89
MAZDOCK,RVNL,0.4590766839318652,102.33425857526224,0.0,39220,90
INOXWIND,IREDA,0.45761682380077456,101.92246355909343,0.0,39220,91
COFORGE,INFY,0.4562941791942968,101.55027449707667,0.0,39220,92
COFORGE,TCS,0.4554210412371164,101.3050417182859,0.0,39220,93
TECHM,WIPRO,0.4549057636397376,101.16049209289913,0.0,39220,94
MPHASIS,PERSISTENT,0.4546500005033262,101.08879105407732,0.0,39220,95
HEROMOTOCO,TVSMOTOR,0.4536269495107646,100.80230215922761,0.0,39220,96
COFORGE,TECHM,0.4532038590612501,100.68396932921046,0.0,39220,97
PNB,SBIN,0.45294704290051335,100.61218300663644,0.0,39220,98
BAJAJFINSV,BAJFINANCE,0.4525360244465841,100.49735897127839,0.0,39220,99
HUDCO,IREDA,0.451602489844018,100.236861339879,0.0,39220,100
BDL,DATAPATTNS,0.4515159768437161,100.21274133684202,0.0,39220,101
HINDCOPPER,HINDZINC,0.4513475888226203,100.16580458709929,0.0,39220,102
ADANIGREEN,ADANIPORTS,0.45106437135358884,100.08689039286247,0.0,39220,103
INOXWIND,NBCC,0.45086017636479564,100.03001815134216,0.0,39220,104
COCHINSHIP,DATAPATTNS,0.45016425112121194,99.8363375005316,0.0,39220,105
ANGELONE,BSE,0.4499359434692785,99.772847695687,0.0,39220,106
IRCON,RITES,0.4496740661359125,99.70005273826126,0.0,39220,107
BANKINDIA,SBIN,0.4495806841433655,99.67410281667183,0.0,39220,108
SAIL,TATASTEEL,0.4488452454778146,99.4698747697758,0.0,39220,109
JINDALSTEL,JSWSTEEL,0.44843932365017497,99.35726055040261,0.0,39220,110
HINDALCO,HINDZINC,0.4484242441754669,99.35307856014573,0.0,39220,111
CDSL,IREDA,0.44804847369186823,99.24890041557224,0.0,39220,112
LODHA,PRESTIGE,0.44680631573105145,98.9049937633435,0.0,39220,113
IRCON,IREDA,0.44612977702206585,98.71798664836348,0.0,39220,114
IRCON,TITAGARH,0.44479363317627435,98.34927317489944,0.0,39220,115
JINDALSTEL,NMDC,0.4444617821542842,98.25782486711788,0.0,39220,116
IREDA,JIOFIN,0.44437748390836407,98.23460280136985,0.0,39220,117
EICHERMOT,HEROMOTOCO,0.4440949957619368,98.15680805519602,0.0,39220,118
IREDA,PFC,0.442774412243711,97.79361381087305,0.0,39220,119
IRFC,MAZDOCK,0.44253874842272795,97.72888362026335,0.0,39220,120
IREDA,SUZLON,0.4418098829164624,97.52884410077472,0.0,39220,121
COFORGE,WIPRO,0.441016396569352,97.31134198538476,0.0,39220,122
