symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,Q_beta,Q_alpha,R,log_likelihood_final,em_iterations,em_converged,beta_mean,alpha_mean,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ar1_phi,ar1_c,hurst_exponent,spread_mean,spread_std,adf_pvalue,tradeable,skipped
PFC,RECLTD,0.6613012626349547,1,27527,1e-07,1.664446741322911e-07,1.6079746161483447e-07,143964.57828308508,50,False,0.9290966289197217,0.5200847617970721,,,,,,,,,,,0.8709231609269208,False,False
BDL,MAZDOCK,0.6481262601604594,2,27527,1e-07,2.9026794819183527e-07,4.83511124990947e-07,135645.43630912597,50,False,0.922469718320203,0.030177391025755274,,,,,,,,,,,0.761222781949898,False,False
GRSE,MAZDOCK,0.6223135583329398,3,27527,1e-07,4.3837290056705257e-07,1.0400306770490307e-06,131828.5057849142,50,False,1.4962608295104596,-3.8548930241572426,,,,,,,,,,,0.1759952799622319,False,False
BANKBARODA,CANBK,0.600743730963829,4,27527,1e-07,1.6842433203391185e-07,1.3140499621969485e-07,147335.45800800377,50,False,0.3665119005855361,3.849741565870743,,,,,,,,,,,0.5064360011291443,False,False
BPCL,HINDPETRO,0.5993120769439445,5,27527,1e-07,2.6535709061752134e-07,3.2434090209316584e-07,141746.32813070368,50,False,0.2914911242739073,4.094007990856523,,,,,,,,,,,0.8876392357073293,False,False
BPCL,IOC,0.5970018243000894,6,27527,1e-07,1.5021839051249404e-07,1.2841307033758026e-07,146938.53704275095,50,False,0.6257666086077089,2.669202052957461,,,,,,,,,,,0.8290295809673078,False,False
INFY,TCS,0.5963448240610343,7,27527,1e-07,2.3075187226774694e-07,3.2778946050834603e-07,136780.1809619092,50,False,1.0151510314626166,-0.7906915760459771,,,,,,,,,,,0.1122263353859358,False,False
IRFC,RVNL,0.59629915020758,8,27527,1e-07,1.9215000157246151e-07,2.009583858354552e-07,143735.34718163838,50,False,0.6512386045886354,0.9610300455965987,,,,,,,,,,,0.7021482884817725,False,False
BEL,HAL,0.5919494727331697,9,27527,1e-07,2.649960785269317e-07,4.170411798333677e-07,134827.15654815838,50,False,1.0209240273166416,-2.4481398634144633,,,,,,,,,,,0.6345979345699748,False,False
CANBK,PNB,0.5912896020465772,10,27527,1e-07,1.301016159478727e-07,1.002495860142194e-07,148634.40564235597,50,False,0.8127342462676922,1.0938033376764944,,,,,,,,,,,0.04625981456317664,False,False
COCHINSHIP,GRSE,0.5888668206027302,11,27527,1e-07,3.0181860138536446e-07,5.234730099639021e-07,135521.02011609275,50,False,0.5644291960910849,2.909408435148258,,,,,,,,,,,0.694144220737603,False,False
BANKINDIA,CANBK,0.5871819129252358,12,27527,1e-07,1.8586479234172945e-07,1.6037413177559726e-07,146221.89288447396,50,False,0.4389052644937472,2.8581858071076827,,,,,,,,,,,0.42454562217129294,False,False
BDL,HAL,0.5812755295762134,13,27527,1e-07,3.322366370939966e-07,6.405161374406742e-07,132717.419461687,50,False,1.603636873105458,-6.153082526184818,,,,,,,,,,,0.22713136891750935,False,False
BANKINDIA,UNIONBANK,0.5785955089782444,14,27527,1e-07,1.792931062000242e-07,1.6266477671363692e-07,145870.25965368105,50,False,0.48832382891669734,2.5199931852795423,,,,,,,,,,,0.7442745768044186,False,False
HAL,MAZDOCK,0.5763677642469147,15,27527,1e-07,2.6323166090016414e-07,3.9730056306498677e-07,136735.97301841568,50,False,0.4947537705687087,4.480755184787983,,,,,,,,,,,0.6370645531532663,False,False
HINDPETRO,IOC,0.5760675120342044,16,27527,1e-07,1.707477164792299e-07,1.6218616905303765e-07,145468.80934719488,50,False,1.010133304888986,0.9055496556393311,,,,,,,,,,,0.6336441013890037,False,False
ADANIENT,ADANIGREEN,0.5750074400452473,17,27527,1e-07,2.4281698428070504e-07,3.1660891805716596e-07,139514.57160932504,50,False,0.6797780794860501,3.001780287075058,,,,,,,,,,,0.9239770478153121,False,False
IREDA,IRFC,0.5729160670388255,18,27527,1e-07,1.384225114463734e-07,1.1150158856178917e-07,148282.53938643998,50,False,0.6284273887457205,1.890825615141035,,,,,,,,,,,0.055026908332282555,False,False
BANKBARODA,PNB,0.5692820524600195,19,27527,1e-07,1.638387181779446e-07,1.2444751486527114e-07,147753.82226848585,50,False,0.9643442406552676,1.0565630888449806,,,,,,,,,,,0.18744873100282095,False,False
BANKINDIA,PNB,0.56893308926589,20,27527,1e-07,1.3876333002492737e-07,1.1360577469840689e-07,147844.26979215542,50,False,0.7036209949327934,1.6757073887170197,,,,,,,,,,,0.4231012176313635,False,False
BEL,MAZDOCK,0.5688595618037797,21,27527,1e-07,2.6127114545330316e-07,3.946767601873058e-07,136477.66608178965,50,False,0.5856576894117448,1.5002785798407465,,,,,,,,,,,0.41703081044747997,False,False
CANBK,UNIONBANK,0.5659548629723078,22,27527,1e-07,3.082408846362081e-07,3.597725689174374e-07,143148.7247975211,50,False,1.0144562035267728,-0.24433064346370714,,,,,,,,,,,0.7152754171763954,False,False
ADANIENSOL,ADANIGREEN,0.5639436106949239,23,27527,1e-07,2.9797960436809746e-07,4.515395171537289e-07,137659.37297201485,50,False,0.9295879262988332,0.5349812054308025,,,,,,,,,,,0.3972734861174697,False,False
COCHINSHIP,MAZDOCK,0.5620628166964209,24,27527,1e-07,3.0350634904513853e-07,5.307503819168817e-07,134999.78367723172,50,False,0.9199581092858604,0.1474868909513673,,,,,,,,,,,0.6169503127769376,False,False
BDL,BEL,0.5607663087083288,25,27527,1e-07,2.4103180849068674e-07,3.0156686822463524e-07,140309.21852352293,50,False,1.1042083762171762,0.5218510162478496,,,,,,,,,,,0.7657113551827972,False,False
BANKBARODA,BANKINDIA,0.5583763155555549,26,27527,1e-07,2.96384519870528e-07,3.2788121310823276e-07,143991.6256153009,50,False,0.9509475224070346,0.8820312625927184,,,,,,,,,,,0.49947693151087014,False,False
BDL,GRSE,0.5521512399588028,27,27527,1e-07,3.0955982720716783e-07,5.503228816520364e-07,135278.26966588892,50,False,0.5352414052857272,3.0387298781080005,,,,,,,,,,,0.7660290006763255,False,False
