symbol_a,symbol_b,net_profit,win_rate,trade_count,max_drawdown,gross_profit,total_fees,exit_reasons
PFC,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
BDL,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
GRSE,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
BANKBARODA,CANBK,0.0,0.0,0,0.0,0.0,0.0,none
BPCL,HINDPETRO,0.0,0.0,0,0.0,0.0,0.0,none
BPCL,IOC,0.0,0.0,0,0.0,0.0,0.0,none
INFY,TCS,0.0,0.0,0,0.0,0.0,0.0,none
IRFC,RVNL,-392.28621125903203,0.5,2,447.337412990528,-261.69346999999317,130.59274125903886,sl;mr
BEL,HAL,0.0,0.0,0,0.0,0.0,0.0,none
CANBK,PNB,0.0,0.0,0,0.0,0.0,0.0,none
COCHINSHIP,GRSE,0.0,0.0,0,0.0,0.0,0.0,none
BANKINDIA,CANBK,0.0,0.0,0,0.0,0.0,0.0,none
BDL,HAL,0.0,0.0,0,0.0,0.0,0.0,none
BANKINDIA,UNIONBANK,0.0,0.0,0,0.0,0.0,0.0,none
HAL,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
HINDPETRO,IOC,0.0,0.0,0,0.0,0.0,0.0,none
ADANIENT,ADANIGREEN,0.0,0.0,0,0.0,0.0,0.0,none
IREDA,IRFC,0.0,0.0,0,0.0,0.0,0.0,none
BANKBARODA,PNB,0.0,0.0,0,0.0,0.0,0.0,none
BANKINDIA,PNB,0.0,0.0,0,0.0,0.0,0.0,none
BEL,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
CANBK,UNIONBANK,0.0,0.0,0,0.0,0.0,0.0,none
ADANIENSOL,ADANIGREEN,0.0,0.0,0,0.0,0.0,0.0,none
COCHINSHIP,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
BDL,BEL,0.0,0.0,0,0.0,0.0,0.0,none
BANKBARODA,BANKINDIA,0.0,0.0,0,0.0,0.0,0.0,none
BDL,GRSE,-1347.1834917072858,0.0,2,45.1189192065699,-1216.8177499999942,130.36574170729148,mr
HINDZINC,VEDL,0.0,0.0,0,0.0,0.0,0.0,none
DLF,GODREJPROP,0.0,0.0,0,0.0,0.0,0.0,none
NATIONALUM,VEDL,0.0,0.0,0,0.0,0.0,0.0,none
PNB,UNIONBANK,0.0,0.0,0,0.0,0.0,0.0,none
IRCON,RVNL,-1291.1199149425493,0.0,1,0.0,-1225.7240800000054,65.39583494254379,mr
GRAPHITE,HEG,0.0,0.0,0,0.0,0.0,0.0,none
BANKBARODA,UNIONBANK,0.0,0.0,0,0.0,0.0,0.0,none
ADANIENT,ADANIPORTS,0.0,0.0,0,0.0,0.0,0.0,none
HINDZINC,NATIONALUM,0.0,0.0,0,0.0,0.0,0.0,none
BANKINDIA,INDIANB,0.0,0.0,0,0.0,0.0,0.0,none
HCLTECH,TCS,0.0,0.0,0,0.0,0.0,0.0,none
IRCON,RAILTEL,-30.76925885299663,0.0,1,0.0,34.54542000000538,65.31467885300201,mr
HINDALCO,NATIONALUM,0.0,0.0,0,0.0,0.0,0.0,none
DATAPATTNS,GRSE,-1686.1286924296742,0.5,6,2129.4138294347513,-1296.6601499999751,389.468542429699,mr
IREDA,RVNL,38.3808196104372,1.0,1,0.0,103.7184000000052,65.337580389568,mr
JSWSTEEL,TATASTEEL,0.0,0.0,0,0.0,0.0,0.0,none
IRCON,IRFC,-295.292786474702,0.5,4,391.07636547896243,-33.84377499998507,261.4490114747169,mr;hl
INDIANB,UNIONBANK,0.0,0.0,0,0.0,0.0,0.0,none
BSE,CDSL,0.0,0.0,0,0.0,0.0,0.0,none
HCLTECH,INFY,0.0,0.0,0,0.0,0.0,0.0,none
NBCC,RVNL,0.0,0.0,0,0.0,0.0,0.0,none
COFORGE,PERSISTENT,0.0,0.0,0,0.0,0.0,0.0,none
CHENNPETRO,MRPL,0.0,0.0,0,0.0,0.0,0.0,none
TCS,WIPRO,0.0,0.0,0,0.0,0.0,0.0,none
DLF,PRESTIGE,0.0,0.0,0,0.0,0.0,0.0,none
NMDC,TATASTEEL,0.0,0.0,0,0.0,0.0,0.0,none
CANBK,INDIANB,0.0,0.0,0,0.0,0.0,0.0,none
INFY,WIPRO,0.0,0.0,0,0.0,0.0,0.0,none
IREDA,NBCC,0.0,0.0,0,0.0,0.0,0.0,none
ADANIENSOL,ADANIENT,0.0,0.0,0,0.0,0.0,0.0,none
IREDA,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
IRFC,NBCC,0.0,0.0,0,0.0,0.0,0.0,none
BANKBARODA,INDIANB,0.0,0.0,0,0.0,0.0,0.0,none
JINDALSTEL,TATASTEEL,0.0,0.0,0,0.0,0.0,0.0,none
BEL,GRSE,0.0,0.0,0,0.0,0.0,0.0,none
CANBK,SBIN,0.0,0.0,0,0.0,0.0,0.0,none
HCLTECH,TECHM,0.0,0.0,0,0.0,0.0,0.0,none
BDL,COCHINSHIP,0.0,0.0,0,0.0,0.0,0.0,none
INDIANB,PNB,0.0,0.0,0,0.0,0.0,0.0,none
GODREJPROP,PRESTIGE,0.0,0.0,0,0.0,0.0,0.0,none
HINDALCO,VEDL,0.0,0.0,0,0.0,0.0,0.0,none
IRCON,JWL,-2202.614716915842,0.0,2,556.0517077129,-2071.849774999983,130.76494191585903,hl
DLF,LODHA,0.0,0.0,0,0.0,0.0,0.0,none
TCS,TECHM,0.0,0.0,0,0.0,0.0,0.0,none
DATAPATTNS,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
JBCHEPHARM,TORNTPHARM,0.0,0.0,0,0.0,0.0,0.0,none
BANKBARODA,SBIN,0.0,0.0,0,0.0,0.0,0.0,none
HINDALCO,TATASTEEL,0.0,0.0,0,0.0,0.0,0.0,none
INFY,TECHM,0.0,0.0,0,0.0,0.0,0.0,none
GODREJPROP,LODHA,0.0,0.0,0,0.0,0.0,0.0,none
COFORGE,MPHASIS,0.0,0.0,0,0.0,0.0,0.0,none
GRSE,HAL,0.0,0.0,0,0.0,0.0,0.0,none
ABCAPITAL,LTF,0.0,0.0,0,0.0,0.0,0.0,none
RAILTEL,RVNL,48.52954455914744,0.6666666666666666,3,0.0,244.40441500001964,195.87487044087237,mr;hl
NATIONALUM,NMDC,0.0,0.0,0,0.0,0.0,0.0,none
DLF,OBEROIRLTY,0.0,0.0,0,0.0,0.0,0.0,none
GODREJPROP,OBEROIRLTY,0.0,0.0,0,0.0,0.0,0.0,none
BSE,MCX,0.0,0.0,0,0.0,0.0,0.0,none
HCLTECH,WIPRO,0.0,0.0,0,0.0,0.0,0.0,none
INOXWIND,SUZLON,0.0,0.0,0,0.0,0.0,0.0,none
IRFC,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
IRFC,RAILTEL,0.0,0.0,0,0.0,0.0,0.0,none
MAZDOCK,RVNL,0.0,0.0,0,0.0,0.0,0.0,none
INOXWIND,IREDA,0.0,0.0,0,0.0,0.0,0.0,none
COFORGE,INFY,-421.5538959675382,0.0,1,0.0,-356.3175000000042,65.236395967534,mr
COFORGE,TCS,0.0,0.0,0,0.0,0.0,0.0,none
TECHM,WIPRO,0.0,0.0,0,0.0,0.0,0.0,none
MPHASIS,PERSISTENT,0.0,0.0,0,0.0,0.0,0.0,none
HEROMOTOCO,TVSMOTOR,0.0,0.0,0,0.0,0.0,0.0,none
COFORGE,TECHM,0.0,0.0,0,0.0,0.0,0.0,none
PNB,SBIN,0.0,0.0,0,0.0,0.0,0.0,none
BAJAJFINSV,BAJFINANCE,0.0,0.0,0,0.0,0.0,0.0,none
HUDCO,IREDA,1793.7320521499441,1.0,2,0.0,1924.5282900000175,130.79623785007323,mr
BDL,DATAPATTNS,0.0,0.0,0,0.0,0.0,0.0,none
HINDCOPPER,HINDZINC,0.0,0.0,0,0.0,0.0,0.0,none
ADANIGREEN,ADANIPORTS,0.0,0.0,0,0.0,0.0,0.0,none
INOXWIND,NBCC,0.0,0.0,0,0.0,0.0,0.0,none
