symbol_a,symbol_b,best_z_entry,best_z_sl,best_hl_stop,gross_profit,trade_count,win_rate,lagger,ou_sigma,ou_mu,exit_mr_count,exit_sl_count,exit_hl_count,exit_session_count,avg_points_profit,avg_points_loss
PFC,RECLTD,2.0,0.0,False,647.6500000000004,826,0.7481840193704601,a,0.0008141789046679,-8.332483828457264e-07,797,0,0,29,1.2881877022653732,-0.7137019230769222
BDL,MAZDOCK,2.0,6.5,False,883.9000000000005,151,0.5960264900662252,b,0.0011736477849739,-1.5812373675855817e-08,150,1,0,0,14.329999999999998,-6.652459016393431
GRSE,MAZDOCK,2.0,0.0,False,5355.700000000015,826,0.7990314769975787,b,0.0015530179458288,-2.080003791133543e-06,782,0,0,44,10.136666666666681,-8.039156626505994
BANKBARODA,CANBK,2.0,0.0,False,746.7899999999993,789,0.9429657794676806,a,0.0008381489383969,-1.361847275245574e-06,751,0,0,38,1.028938172043009,-0.41644444444444084
BPCL,HINDPETRO,2.0,0.0,False,902.4999999999993,708,0.9477401129943502,a,0.0009829548541197,2.926466988574461e-06,665,0,0,43,1.370119225037257,-0.4554054054054076
BPCL,IOC,2.0,0.0,False,812.9000000000001,760,0.8986842105263158,a,0.000865148945135,2.239581129053701e-06,721,0,0,39,1.245461200585651,-0.4902597402597417
INFY,TCS,2.0,0.0,False,1469.2999999999997,705,0.7120567375886525,a,0.0007623312079754,-3.278335756611412e-07,653,0,0,52,4.135258964143431,-2.988177339901485
IRFC,RVNL,2.0,0.0,False,191.8999999999997,775,0.8980645161290323,a,0.00026636481669588,1.629351475393754e-08,774,0,0,1,0.28961206896551683,-0.12240506329113926
BEL,HAL,2.0,15.0,False,4345.600000000006,770,0.6493506493506493,b,0.0009259854472457,-1.828399182677352e-06,723,2,0,45,13.21240000000002,-8.372592592592595
CANBK,PNB,2.0,0.0,True,40.43999999999997,682,0.45161290322580644,b,0.0008045658409048,4.4791247197534845e-06,427,0,234,21,0.32490259740259736,-0.1594385026737968
